c,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,,,,RANK
5,Aaron Towo-Nansi,Cholet (FRA),?,Primary Ball Handler,Point-of-Attack,"5'10""",,,,,,48,48.0,,,,,
5,Gene Roebuck,La Mirada,?,Scoring Guard,Perimeter Stopper,"6'4""",25,51,45,39,64,49,45.5,44.8,,,,
5,Josiah Harrington,North Scott,Iowa State,Combo Guard,,"6'5""",44,46,45,,,50,46.3,45.0,,,,
5,Brandon Woodard,Bishop McNamara,?,Play Finishing Forward,Helper,"6'9""",66,59,27,31,82,51,52.7,53.0,,,,
5,Gabrielius Buivydas,Rydas (LTU),?,Combo Guard,???,"6'2""",,,,,,52,52.0,,,,,
5,Chase Branham,Logan-Rogersville,Indiana,Combo Guard,???,"6'4""",51,26,46,44,20,53,40.0,37.4,,,,
5,Jaydn Jenkins,Archbishop Wood,?,Slasher,Helper,"6'9""",45,21,28,,,54,37.0,31.3,,,,
5,Roger Villarejo,Valencia (ESP),?,Downhill Initiator,Helper,"6'6""",,,,,,55,55.0,,,,,
5,Devin Cleveland,La Lumiere,?,Scoring Guard,???,"6'3""",41,35,32,27,41,56,38.7,35.2,,,,
5,Tyrone Jamison,Calvary Baptist Academy,?,Primary Ball Handler,???,"6'2""",56,48,31,30,51,57,45.5,43.2,,,,
5,Jaxson Davis,Warren Township,?,Primary Ball Handler,Point-of-Attack,"6'1""",59,40,48,48,34,58,47.8,45.8,,,,
5,Henry Robinson Jr.,Pine Ridge,?,Scoring Wing,Perimeter Stopper,"6'7""",31,57,38,,,59,46.3,42.0,,,,
5,Cherif Millongo,St. Francis (BUR),?,Play Finishing Big,Rim Protector,"7'2""",43,47,53,,,60,50.8,47.7,,,,
5,Jason Gardner Jr.,Fishers,?,Primary Ball Handler,Point-of-Attack,"6'0""",42,30,41,59,,61,58.3,43.0,,,,
5,Howard Williams,Overtime Elite,?,Slasher,Helper,"6'6""",33,58,30,47,37,62,44.5,41.0,,,,
5,Kevin Savage,Wheeler,?,Primary Ball Handler,Point-of-Attack,"5'11""",75,36,97,36,74,63,63.5,63.6,,,,
5, Ognjen Simjanovski,Crvena Zvezda (SRB),?,Primary Ball Handler,Point-of-Attack,"6'3""",,,,,,64,64.0,,,,,
5,Oneal Delancy,Monteverde,?,Primary Ball Handler,Point-of-Attack,"6'2""",53,55,56,41,,65,54.0,51.3,,,,
5,Martay Barnes,Academy of Central Florida,?,Primary Ball Handler,Point-of-Attack,"6'2""",70,49,42,49,90,66,61.0,60.0,,,,
5,Jomar Bernard,The Villages Charter,?,Off-Ball Wing,Perimeter Stopper,"6'8""",52,63,71,,68,67,64.2,63.5,,,,
5,Mahamadou Diop,San Gabriel Academy (MLI),?,Play Finishing Big,Rim Protector,"6'11""",30,79,55,55,,68,57.4,54.8,,,,
5,Dylan Jones,Bartlett,?,Scoring Wing,Perimeter Stopper,"6'6""",63,50,39,,,69,55.3,50.7,,,,
5,J'lon Lyons,Clinton Grace Christian School,?,Primary Ball Handler,Point-of-Attack,"6'3""",67,53,49,52,80,70,74.2,60.2,,,,
5,Ahmed Nur,Hopkins,?,Off-Ball Wing,Perimeter Stopper,"6'7""",47,44,107,,,71,67.3,66.0,,,,
5,Messi Yangala,INSEP (FRA),?,Play Finishing Big,Versatile Big,"6'8""",,,,,,72,72.0,,,,,
5,Theo Edema,Cushing Academy,?,Play Finishing Big,Rim Protector,"7'0""",35,52,59,,,73,54.8,48.7,,,,
5,Giorgios Giantsidis,Platon (GRE),?,Primary Ball Handler,Helper,"6'5""",,,,,,74,74.0,,,,,
5,Micah Gordon,Plainfield,?,Primary Ball Handler,Point-of-Attack,"5'11""",50,45,68,33,85,75,59.3,56.2,,,,
5,Caleb Ourigou,Overtime Elite,?,,,"6'10""",73,89,104,51,73,76,93.2,78.0,,,,
5,Emils Steckis,Zalgris (LTU),?,Connector Big,Rim Protector,"6'10""",,,,,,77,77.0,,,,,
5,Clyde Walters,Overtime Elite,?,Scoring Wing,,"6'6""",82,99,82,50,36,78,71.2,69.8,,,,
5,Jeremiah Profit,Rancho Christian,?,Combo Guard,,"6'4""",79,84,76,58,,79,75.2,74.3,,,,
5,Jaylan Mitchell,SPIRE Academy,?,Scoring Wing,???,"6'7""",19,69,29,17,52,80,44.3,37.2,,,,
