TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
3,Luka Leni Ukic,KK Split (CRO),?,Primary Ball Handler,Point-of-Attack,"6'0""",,,,,,50,50.0,,,,,,
3,Josiah Rose,Faith Family Academy,?,Primary Ball Handler,???,"6'3""",20,45,,,28,51,36.0,,,,,,
,CJ Moore,Ridge View,?,,,"6'7""",28,42,50,,16,,34.0,,,,,,
,Cole Kelly,Neuqua Valley,?,,,"6'6""",44,38,14,,43,,34.8,,,,,,
,Braxton Bogard,Archbishop Spalding,?,,,"6'8""",41,41,27,22,48,,35.8,,,,,,
,Emmanuel Nwabuoku,St. John's,?,,,"6'9""",22,57,,,30,,36.3,,,,,,
,Isaac Smith,Hargrave Military Academy,?,,,"6'5""",26,66,,,18,,36.7,,,,,,
,Kevin Wheatley,Our Savior Lutheran,?,,,"6'6""",21,28,37,24,74,,36.8,,,,,,
,Trey Edwards,Melissa,?,,,"6'4""",31,52,29,,41,,38.3,,,,,,
,Tai Bell,Mater Lakes Academy,?,,,"6'2""",30,25,26,25,86,,38.4,,,,,,
,Rowan Phillips,Westtown School,?,,,"6'5""",55,21,45,,35,,39.0,,,,,,
,Peter Julius,Mt. Bethel Christian Academy,?,,,"6'8""",43,56,16,20,62,,39.4,,,,,,
,Landon Lampley,Lawrence Central,?,,,"6'6""",50,35,46,24,45,,40.0,,,,,,
,Tyler Sutton,Overtime Elite,?,,,"6'2""",45,55,34,47,,,45.3,,,,,,
,Will Nelson,Madison Prep Academy,?,,,"6'6""",53,31,41,,64,,47.3,,,,,,
,Trey McKinney,Bishop Gorman,?,,,"6'5""",62,,,21,76,,53.0,,,,,,
,Baptiste Moussa Manel,Dubai BC (SEN),?,Play Finishing Big,Rim Protector,"6'11""",,,,,,,,,,,,,
,Emmanuel Ouedraogo,Wilson Academy (CIV),?,Play Finishing Big,Rim Protector,"6'10""",,,,,,,,,,,,,
,Benjamin Kuranovic,FCN Wels (AUT),?,Skilled Forward,Helper,"6'7""",,,,,,,,,,,,,
,David Ezema,Orange1 Bassano (NGA),?,Play Finishing Forward,,"6'7""",,,,,,,,,,,,,
,Markuss Jahovics,Klase (LAT),?,Combo Guard,,"6'5""",,,,,,,,,,,,,
, August Engelhardt Moller,Falcon (DEN),?,,,"6'9""",,,,,,,,,,,,,
,Ayomide Ajayi,London Cavs (ITA),?,Skilled Forward,,"6'9""",,,,,,,,,,,,,
,Marko Volf,Bayern Munich (GER),?,Primary Ball Handler,,"6'1""",,,,,,,,,,,,,
,Emmanuel Destom,Barcelona (FRA),?,,,"6'6""",,,,,,,,,,,,,
,Pablo Mera,Real Madrid (ESP),?,Primary Ball Handler,???,"6'3""",,,,,,,,,,,,,
,Jordan Mize,Sierra Canyon,?,,,6'5',,,,,,,,,,,,,
,Ilian Toholin,INSEP (FRA),?,Scoring Guard,,"6'7""",,,,,,,,,,,,,
,Mattia Sguazzin,Milano (ITA),?,,,"6'7""",,,,,,,,,,,,,
,Sergio Palau Lara,Valencia (ESP),?,Skilled Forward,,"6'6""",,,,,,,,,,,,,
,Izan Perez,Joventut (ESP),?,Scoring Guard,,"6'4""",,,,,,,,,,,,,
,Yizhaojie Zhang,Shanghai Jiushi (CHN),?,Wing Handler,,"6'7""",,,,,,,,,,,,,
,Lewis Okadoh,Borgomanero (ITA),?,Connector Big,Versatile Big,"6'8""",,,,,,,,,,,,,
,Cameron Crenshaw,Wagner,?,Stretch Big,Versatile Big,"6'9""",,,,,108,,,,,,,,
