Team,Division,Name,Games,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3pr,FTM,FTA,FT%,FTr
Vegas Elite,16U,Michael McIntyre,4,14:04,2.5,0.2,1,4,5,0.8,0.2,1,1,0.20,1.2,10,64.3,4,7,57.1,3,5,60,1,2,50,0.286,1,6,16.7,0.857
Team Why Not,16U,Dylan Northcutt,11,8:22,2.5,0.5,0.7,0.8,1.5,0.5,0.3,0.8,0.5,1.00,0.5,28,38.5,10,26,38.5,10,22,45.5,0,4,0,0.154,8,10,80,0.385
The Family,16U,Shae Eggleston,4,11:01,2.5,0.2,0.2,0.8,1,0.2,0.2,0.4,1.2,0.17,1,10,41.7,4,12,33.3,2,4,50,2,8,25,0.667,0,1,0,0.083
Vegas Elite,16U,Travon Darby,10,9:48,2.4,1.6,0.3,1.3,1.6,0.8,0,0.8,0.9,1.78,1.5,24,37.9,9,29,31,5,15,33.3,4,14,28.6,0.483,2,9,22.2,0.310
Team Why Not,16U,Emilis Zibuda,3,5:16,2.3,0.3,0,0.7,0.7,0.7,0.3,1,0,#DIV/0!,0.3,7,35.7,2,7,28.6,1,2,50,1,5,20,0.714,2,2,100,0.286
AZ Unity,16U,Daouda Ndiaye,11,7:15,2.3,0.4,1.1,1.3,2.4,0.5,0.3,0.8,0.3,1.33,1.4,25,54.8,11,21,52.4,10,18,55.6,1,3,33.3,0.143,2,2,100,0.095
AZ Unity,16U,Isaac Gonda,3,6:34,2.3,0.3,0.3,1.3,1.7,0,0.3,0.3,0.3,1.00,0.3,7,50,3,6,50,3,5,60,0,1,0,0.167,1,2,50,0.333
Expressions,16U,Filip Mozoul,4,19:49,2.2,0.5,0.5,2.8,3.2,0,1.5,1.5,0.2,2.50,1.5,9,21.9,3,16,18.8,2,5,40,1,11,9.1,0.688,2,2,100,0.125
Team Thad,16U,John Luk Padiel Tut,10,11:18,2.2,0.6,1.5,1.1,2.6,0.2,0.9,1.1,0.8,0.75,2,22,52.6,10,19,52.6,10,18,55.6,0,1,0,0.053,2,5,40,0.263
Georgia Stars,16U,Noah Bol Dong,4,11:30,2.2,0.2,2,1,3,0,0.8,0.8,1.2,0.17,3,9,57.1,4,7,57.1,4,7,57.1,0,0,0,0.000,1,4,25,0.571
Drive Nation,16U,Cash Erdmann,11,7:37,2.2,0.5,0.5,0.9,1.5,0.5,0.2,0.7,0.4,1.25,0.9,24,45.2,8,21,38.1,5,5,100,3,16,18.8,0.762,5,10,50,0.476
City Rocks,16U,Mekhi Jean-Pierre,8,11:54,2.2,0.5,0.6,1.1,1.8,0.5,0.2,0.7,1.1,0.45,1.6,18,40.9,9,22,40.9,9,19,47.4,0,3,0,0.136,0,0,0,0.000
Mac Irvin Fire,16U,Caleb Young,4,9,2.2,1,1,1.8,2.8,0,0.5,0.5,0,#DIV/0!,3,9,25,2,8,25,2,8,25,0,0,0,0.000,5,9,55.6,1.125
Howard Pulley,16U,Conner Watts,12,9:57,2.2,0.6,0,1.1,1.1,0.4,0,0.4,0.3,2.00,1.8,26,42.9,8,21,38.1,6,13,46.2,2,8,25,0.381,8,12,66.7,0.571
Boo Williams,16U,Marlon Montague,12,6:42,2.2,0.6,0.6,1,1.6,0.2,0.1,0.3,0.3,2.00,0.8,27,85,8,10,80,7,7,100,1,3,33.3,0.300,10,14,71.4,1.400
Alabama Fusion,16U,Adam Griffin,10,8:27,2.1,0.6,0.3,0.8,1.1,0.8,0.4,1.2,1,0.60,1.3,21,50,8,20,40,4,10,40,4,10,40,0.500,1,2,50,0.100
UPLAY,16U,Isaac Gonda,12,8:16,2.1,0.1,0.5,1.8,2.2,0.2,0.8,1,0.6,0.17,0.9,25,31.9,10,36,27.8,7,21,33.3,3,15,20,0.417,2,7,28.6,0.194
Team Melo,16U,Cahron Wheeler,7,12:41,2.1,0.4,0.6,1.4,2,0.3,0,0.3,0.3,1.33,2.6,15,26.1,6,23,26.1,6,16,37.5,0,7,0,0.304,3,6,50,0.261
Team Final,16U,david massengo,8,8:14,2.1,0.1,1.2,1.4,2.6,0.1,0.1,0.2,1,0.10,0.5,17,35,7,20,35,7,15,46.7,0,5,0,0.250,3,8,37.5,0.400
AZ Unity,16U,Wor Wor,2,8:11,2,0,1,0.5,1.5,1,0.5,1.5,0.5,0.00,1.5,4,33.3,1,3,33.3,1,3,33.3,0,0,0,0.000,2,3,66.7,1.000
Meanstreets,16U,Demarco King Jr,8,13:27,2,1.2,0.2,1,1.2,0.8,0.4,1.2,0.8,1.50,1.5,16,25,6,26,23.1,5,9,55.6,1,17,5.9,0.654,3,6,50,0.231
Boo Williams,16U,Jayden Detrick,4,12:32,2,0.8,0.5,0,0.5,1,0,1,0.8,1.00,0.2,8,80,3,5,60,1,1,100,2,4,50,0.800,0,0,0,0.000
Pro Skills,16U,Alec Lucas,2,5:14,2,0.5,0,0,0,1,0,1,0.5,1.00,1,4,50,2,4,50,2,2,100,0,2,0,0.500,0,0,0,0.000
Team Thad,16U,Jackson Black,10,10:25,2,0.1,0.9,1.3,2.2,0.3,0.5,0.8,0.3,0.33,1.1,20,75,7,10,70,6,9,66.7,1,1,100,0.100,5,6,83.3,0.600
Mokan,16U,Deyton Lucas,12,9:14,2,0.3,0.4,0.6,1,0.4,0.2,0.6,0.4,0.75,1.6,24,36.7,10,30,33.3,8,17,47.1,2,13,15.4,0.433,2,6,33.3,0.200
Drive Nation,16U,Jaden Davis,4,11:38,2,1.5,1,1.5,2.5,0.5,0,0.5,1.2,1.25,2.2,8,44.4,4,9,44.4,4,9,44.4,0,0,0,0.000,0,0,0,0.000
PG Elite,16U,Chris Rupert,2,7:03,2,0,1,2,3,0.5,0,0.5,1,0.00,1.5,4,20,1,5,20,1,5,20,0,0,0,0.000,2,2,100,0.400
Meanstreets,16U,Edward Williams,7,10:38,2,1,0.6,1.6,2.1,0.3,0.1,0.4,1.6,0.63,1.9,14,50,6,12,50,6,11,54.5,0,1,0,0.083,2,7,28.6,0.583
Oakland Soldiers,16U,James Evans,7,9:31,2,1,0.6,1.7,2.3,0.3,0,0.3,1.3,0.77,0.4,14,43.8,6,16,37.5,4,10,40,2,6,33.3,0.375,0,0,0,0.000
USC Unleashed,16U,Levon Smith 111,4,6:55,2,1,0.5,0.8,1.2,0.2,0,0.2,1.5,0.67,2.2,8,70,3,5,60,2,3,66.7,1,2,50,0.400,1,1,100,0.200
Boo Williams,16U,Trey Barnhart,4,9:47,2,0.5,0.5,1.2,1.8,0.2,0,0.2,0.5,1.00,1.2,8,26.7,3,15,20,1,7,14.3,2,8,25,0.533,0,0,0,0.000
The Family,16U,Samuel Makuag,11,7:00,2,0.1,0.4,0.5,0.9,0,0,0,0.5,0.20,1,22,50,6,12,50,6,11,54.5,0,1,0,0.083,10,14,71.4,1.167
Meanstreets,16U,Michael White,3,5:29,2,0,0,0.3,0.3,0,0,0,0.3,0.00,0,6,42.9,2,7,28.6,0,0,0,2,7,28.6,1.000,0,0,0,0.000
Georgia Stars,16U,Marcello Fludd,1,2:11,2,0,0,0,0,0,0,0,0,#DIV/0!,1,2,100,1,1,100,1,1,100,0,0,0,0.000,0,0,0,0.000
UPLAY,16U,Carsen Hayle,10,6:48,1.9,0.1,0.3,0.7,1,0.5,0.1,0.6,0.2,0.50,0.7,19,42.9,6,14,42.9,6,7,85.7,0,7,0,0.500,7,8,87.5,0.571
Team CP3,16U,Omari Whiteside,12,9:29,1.9,1.4,0.8,1.2,2,0.5,0,0.5,0.3,4.67,0.8,23,38.9,10,27,37,9,20,45,1,7,14.3,0.259,2,8,25,0.296
NJ Scholars,16U,Myles Peterson,12,6:50,1.9,0.4,0.4,0.5,0.9,0.3,0.1,0.4,1.1,0.36,0.8,23,42,10,25,40,9,18,50,1,7,14.3,0.280,2,5,40,0.200
Team Takeover,16U,Dylan Harsanyi,10,7:09,1.9,1.1,0.5,0.4,0.9,0.3,0,0.3,0.3,3.67,1.1,19,50,6,17,35.3,1,2,50,5,15,33.3,0.882,2,4,50,0.235
Pro Skills,16U,Dylan Matlock-Reed,11,7:00,1.9,0.1,0.4,0.6,1,0.1,0,0.1,1.1,0.09,1,21,50,8,20,40,4,11,36.4,4,9,44.4,0.450,1,3,33.3,0.150
Mokan,16U,Tayshawn Gipson,8,7:37,1.9,0.5,0.2,1,1.2,0.1,0,0.1,0.9,0.56,0.9,15,68.2,7,11,63.6,6,6,100,1,5,20,0.455,0,0,0,0.000
Team CP3,16U,Cash Hall,10,6:39,1.9,0.4,0.3,0.1,0.4,0,0,0,0.7,0.57,1.3,19,41.3,7,23,30.4,2,6,33.3,5,17,29.4,0.739,0,0,0,0.000
Bates Fundamentals,16U,Prince Ravanna Miles-El,4,9:53,1.8,0.8,0.2,1.2,1.5,1,0,1,1,0.80,1,7,29.2,3,12,25,2,4,50,1,8,12.5,0.667,0,0,0,0.000
Boo Williams,16U,Jagger Emerson,5,7:40,1.8,0,0,1.6,1.6,0,0.8,0.8,0.6,0.00,1,9,41.7,2,6,33.3,1,4,25,1,2,50,0.333,4,8,50,1.333
The Family,16U,Chris Vinson,4,11:35,1.8,1.5,0,0.5,0.5,0.8,0,0.8,0,#DIV/0!,1.5,7,16.7,2,15,13.3,1,4,25,1,11,9.1,0.733,2,2,100,0.133
PSA Cardinals,16U,Milos Vasic,10,6:59,1.8,0.1,0.2,0.4,0.6,0.1,0.7,0.8,0.2,0.50,0.8,18,44.4,8,18,44.4,8,14,57.1,0,4,0,0.222,2,3,66.7,0.167
JL3,16U,Anthony Enechukwu,6,8:23,1.8,1.2,0.7,0.5,1.2,0.5,0.2,0.7,0.7,1.71,0.5,11,23.7,4,19,21.1,3,11,27.3,1,8,12.5,0.421,2,3,66.7,0.158
Vegas Elite,16U,Noah Ondoua,11,12:31,1.8,0.7,0.4,0.5,0.9,0.5,0.1,0.6,0.6,1.17,1.2,20,47.1,7,17,41.2,5,7,71.4,2,10,20,0.588,4,6,66.7,0.353
Brad Beal Elite,16U,Noah Emmanuel,10,4:05,1.8,0.1,0.4,0.6,1,0,0.2,0.2,0.2,0.50,0.9,18,60,8,15,53.3,6,10,60,2,5,40,0.333,0,0,0,0.000
Houston Hoops,16U,Jaylen Boston,5,8:26,1.8,0,0.2,0.4,0.6,0.2,0,0.2,0.8,0.00,0.2,9,64.3,3,7,42.9,0,0,0,3,7,42.9,1.000,0,0,0,0.000
Georgia Stars,16U,Kurston Curry,4,6:55,1.8,0.8,0.2,1,1.2,0.2,0,0.2,0.5,1.60,0.2,7,35,3,10,30,2,5,40,1,5,20,0.500,0,0,0,0.000
Team Takeover,16U,Blake Fitzgerald,4,4,1.8,0.2,0.5,0.8,1.2,0,0.2,0.2,0,#DIV/0!,0.5,7,37.5,3,8,37.5,3,7,42.9,0,1,0,0.125,1,3,33.3,0.375
Meanstreets,16U,Kayleb Young,4,3:14,1.8,0,0,0.8,0.8,0,0,0,0.2,0.00,0.2,7,50,2,4,50,2,4,50,0,0,0,0.000,3,6,50,1.500
Florida Rebels,16U,Aidan Dayco-Green,3,10:23,1.7,1,0.3,1.3,1.7,0.7,0,0.7,5.3,0.19,1,5,50,2,4,50,2,3,66.7,0,1,0,0.250,1,2,50,0.500
Vegas Elite,16U,Cyril Mulot,9,7:39,1.7,2.1,0.7,0.6,1.2,0.6,0,0.6,0.6,3.50,0.6,15,46.7,5,15,33.3,1,4,25,4,11,36.4,0.733,1,2,50,0.133
Georgia Stars,16U,Tyce Curtis,3,6:58,1.7,0.3,1,0.7,1.7,0.3,0.3,0.6,1,0.30,0.7,5,66.7,2,3,66.7,2,3,66.7,0,0,0,0.000,1,4,25,1.333
All Ohio,16U,Prince Ravanna Miles-El,5,10:11,1.6,0.6,0.2,0.8,1,0.4,0,0.4,1,0.60,1.2,8,23.3,3,15,20,2,6,33.3,1,9,11.1,0.600,1,3,33.3,0.200
Team United,16U,Kamren Freeman,5,5:37,1.6,0,0.2,0.8,1,0.2,0.2,0.4,0.4,0.00,0.6,8,60,3,5,60,3,5,60,0,0,0,0.000,2,4,50,0.800
NW Rotary,16U,Gene Woodard III,10,10:27,1.5,0.2,0.8,1.2,2,0.4,0.7,1.1,0.7,0.29,1.6,15,43.8,7,16,43.8,7,16,43.8,0,0,0,0.000,1,4,25,0.250
Oakland Soldiers,16U,Cole white,11,10:31,1.5,0.7,0.7,1.6,2.4,0.5,0,0.5,1,0.70,0.7,17,17.1,6,38,15.8,5,25,20,1,13,7.7,0.342,4,6,66.7,0.158
PSA Cardinals,16U,Elijah Colon,11,8:20,1.5,0.7,0.3,0.7,1,0.3,0,0.3,0.3,2.33,0.7,16,19.4,5,31,16.1,3,10,30,2,21,9.5,0.677,4,4,100,0.129
Team Why Not,16U,Djordan Hall,7,6:11,1.4,0.1,0.1,0.3,0.4,0.7,0,0.7,0.7,0.14,0.9,10,36.4,4,11,36.4,4,8,50,0,3,0,0.273,2,4,50,0.364
Alabama Fusion,16U,Dylan Layton,3,5:10,1.3,0,0.7,1,1.7,0.7,0.3,1,1,0.00,0.7,4,66.7,2,3,66.7,2,3,66.7,0,0,0,0.000,0,0,0,0.000
Team Takeover,16U,Cain Van Norden,10,5:43,1.3,0.1,0.4,1.1,1.5,0.3,0.3,0.6,0.6,0.17,0.7,13,50,4,8,50,4,8,50,0,0,0,0.000,5,10,50,1.250
LivOn,16U,DJuan Tanner,7,5:48,1.3,0.3,0.6,1,1.6,0.1,0.1,0.2,0.3,1.00,0.6,9,33.3,4,12,33.3,4,10,40,0,2,0,0.167,1,2,50,0.167
Jet Academy,16U,Kurston Curry,3,6:58,1.3,0.7,0.7,1.3,2,0,0,0,0.3,2.33,0,4,16.7,1,6,16.7,1,2,50,0,4,0,0.667,2,2,100,0.333
Expressions,16U,Justin Urey,5,14:46,1.2,1.2,0.8,0.6,1.4,0.8,0,0.8,1.8,0.67,1.4,6,18.8,2,16,12.5,0,7,0,2,9,22.2,0.563,0,0,0,0.000
Team United,16U,Amen Pressley,11,11:05,1.2,0.7,0.3,0.8,1.1,0.7,0.1,0.8,0.9,0.78,1.4,13,30.8,3,13,23.1,1,8,12.5,2,5,40,0.385,5,10,50,0.769
Georgia Stars,16U,Timothy Johnson,6,5:31,1.2,0.2,0.8,0.7,1.5,0.2,0.5,0.7,0.5,0.40,1.3,7,100,3,3,100,3,3,100,0,0,0,0.000,1,2,50,0.667
Team Why Not,16U,Javez Coleby,4,5:28,1.2,0,1.2,0.8,2,0.5,0.2,0.7,0.8,0.00,0.5,5,66.7,2,3,66.7,2,3,66.7,0,0,0,0.000,1,2,50,0.667
Brad Beal Elite,16U,Kevinas Salkauskas,4,9:12,1.2,0.5,0.5,0.5,1,0,0,0,0.8,0.63,1,5,20,1,5,20,1,4,25,0,1,0,0.200,3,4,75,0.800
NW Rotary,16U,Ronald Wiggins,11,12:42,1.1,1.8,0.9,1.9,2.8,1,0.6,1.6,0.8,2.25,2.7,12,18.8,4,24,16.7,3,9,33.3,1,15,6.7,0.625,3,5,60,0.208
NY Lightning,16U,Emmanuel Malok,8,7:18,1.1,0,0.5,0.9,1.4,0.4,0.9,1.3,0.6,0.00,0.5,9,57.1,4,7,57.1,4,6,66.7,0,1,0,0.143,1,5,20,0.714
Team Final,16U,Joel Kabugi,11,9:07,1.1,0.5,0.5,1.3,1.8,0.3,0.4,0.7,1,0.50,0.9,12,17.4,3,23,13,1,8,12.5,2,15,13.3,0.652,4,6,66.7,0.261
UPLAY,16U,Totu Akuentok,10,6:03,1.1,0.2,1.1,1.1,2.2,0,0.7,0.7,0.4,0.50,0.7,11,50,4,8,50,4,8,50,0,0,0,0.000,3,4,75,0.500
PSA Cardinals,16U,Ziyi Xiong,9,5:27,1.1,0.1,0.3,0.7,1,0.1,0.2,0.3,0.2,0.50,0.6,10,28.6,2,7,28.6,2,6,33.3,0,1,0,0.143,6,11,54.5,1.571
USC Unleashed,16U,Peyton Jennings,12,7:09,1.1,0.2,0.5,0.4,0.9,0.3,0,0.3,0.2,1.00,0.6,13,30,6,20,30,6,14,42.9,0,6,0,0.300,1,2,50,0.100
Florida Rebels,16U,Graciano Ntohha,3,13:32,1,1.7,0.7,2.7,3.3,1,0.3,1.3,1,1.70,2,3,20,1,5,20,1,3,33.3,0,2,0,0.400,1,2,50,0.400
Team Melo,16U,Shakur Starling,8,10:07,1,0.6,0.9,0.9,1.8,0.9,0.1,1,0.6,1.00,0.8,8,18.8,3,16,18.8,3,12,25,0,4,0,0.250,2,6,33.3,0.375
Drive Nation,16U,Brody Knowles,3,14:09,1,1.3,2,1.3,3.3,0,1,1,0.7,1.86,1.3,3,50,1,2,50,1,2,50,0,0,0,0.000,1,2,50,1.000
Alabama Fusion,16U,James Williams III,5,11:21,1,1.6,0.6,1.4,2,0.2,0.4,0.6,0.2,8.00,1.2,5,40,2,5,40,2,4,50,0,1,0,0.200,1,2,50,0.400
USC Unleashed,16U,Kasenda Moise,3,6:29,1,0.3,1.7,1.3,3,0,0.3,0.3,0,#DIV/0!,1.3,3,20,1,5,20,1,5,20,0,0,0,0.000,1,2,50,0.400
Vegas Elite,16U,Wor Wor,4,2:03,1,0,0.2,0,0.2,0,0.2,0.2,0.2,0.00,0.5,4,25,1,4,25,1,3,33.3,0,1,0,0.250,2,2,100,0.500
Houston Hoops,16U,Jestin Songer,4,8:05,1,2,1.2,0.8,2,0,0,0,1.2,1.67,0.8,4,50,2,4,50,2,3,66.7,0,1,0,0.250,0,0,0,0.000
Bates Fundamentals,16U,Tyler Hunter,3,7,1,0,0.3,1,1.3,0,0,0,0.7,0.00,2.3,3,16.7,1,6,16.7,1,5,20,0,1,0,0.167,1,2,50,0.333
Oakland Soldiers,16U,Pengbo Wong,2,1:59,1,0,0,0,0,0,0,0,0.5,0.00,0.5,2,50,1,2,50,1,2,50,0,0,0,0.000,0,0,0,0.000
Georgia Stars,16U,Armond Smith,8,5:22,0.9,0.2,0,0.6,0.6,0.5,0,0.5,0.9,0.22,0.8,7,17.9,2,14,14.3,1,5,20,1,9,11.1,0.643,2,4,50,0.286
Team United,16U,Jakobe Edgerton,8,4:54,0.9,0.6,0,0.4,0.4,0.2,0,0.2,0.6,1.00,1,7,25,2,8,25,2,5,40,0,3,0,0.375,3,4,75,0.500
Georgia Stars,16U,Conrad Ogden,4,6:21,0.8,0,0.8,0.5,1.2,0.5,0.2,0.7,0.8,0.00,0.5,3,16.7,1,6,16.7,1,3,33.3,0,3,0,0.500,1,2,50,0.333
LivOn,16U,Caden Moss,5,5:35,0.8,0.2,0.6,0.8,1.4,0.2,0,0.2,0.6,0.33,0.4,4,33.3,2,6,33.3,2,6,33.3,0,0,0,0.000,0,2,0,0.333
Boo Williams,16U,Kevin Parker,4,6:01,0.8,0.2,0,1.2,1.2,0.2,0,0.2,0.5,0.40,0.8,3,12.5,1,8,12.5,1,8,12.5,0,0,0,0.000,1,4,25,0.500
AOT,16U,Tyler Younger,4,4:03,0.8,0,0.2,0,0.2,0,0.2,0.2,0.2,0.00,0.8,3,50,1,2,50,1,2,50,0,0,0,0.000,1,4,25,2.000
Howard Pulley,16U,William Thiemann,8,2:32,0.8,0.1,0.1,0.1,0.2,0,0,0,0.1,1.00,0.1,6,50,2,4,50,2,2,100,0,2,0,0.500,2,2,100,0.500
Team Durant,16U,Tyler Royal,11,9:39,0.7,0.2,0.5,0.8,1.3,0.3,0.3,0.6,0.5,0.40,0.9,8,21.4,3,14,21.4,3,13,23.1,0,1,0,0.071,2,7,28.6,0.500
Georgia Stars,16U,Alkil Robinson,3,5:41,0.7,0.7,0.3,0,0.3,0.3,0,0.3,0,#DIV/0!,0.3,2,20,1,5,20,1,3,33.3,0,2,0,0.400,0,0,0,0.000
Alabama Fusion,16U,Noah Bol Dong,3,4:46,0.7,0,0.7,0.3,1,0.3,0,0.3,1,0.00,2.3,2,25,1,4,25,1,4,25,0,0,0,0.000,0,0,0,0.000
AB Elite,16U,Amassia Dayian,3,1:24,0.7,0.3,0,0.7,0.7,0,0,0,0.3,1.00,0,2,0,0,2,0,0,1,0,0,1,0,0.500,2,4,50,2.000
Team Melo,16U,"William Bryant Jr,",3,3:54,0.7,0.3,0.7,0.3,1,0,0,0,0,#DIV/0!,0.3,2,20,1,5,20,1,4,25,0,1,0,0.200,0,0,0,0.000
UPLAY,16U,Luka Boras,5,4:14,0.6,0.2,0.2,0.4,0.6,0,0,0,0,#DIV/0!,0.2,3,25,1,6,16.7,0,2,0,1,4,25,0.667,0,0,0,0.000
Houston Hoops,16U,Lance Williams,2,9:49,0.5,0,0.5,0.5,1,0,0.5,0.5,1.5,0.00,0.5,1,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1,3,33.3,#DIV/0!
Meanstreets,16U,Ricky Woods Jr,8,1:56,0.5,0.2,0.1,0,0.1,0,0,0,0,#DIV/0!,0.2,4,66.7,2,3,66.7,2,3,66.7,0,0,0,0.000,0,0,0,0.000
Legynds,16U,Atreju Crump,9,8:47,0.4,0.3,0.7,1.1,1.8,0.1,0.3,0.4,0.6,0.50,0.8,4,100,2,2,100,2,2,100,0,0,0,0.000,0,0,0,0.000
Brad Beal Elite,16U,Camron Dunson-Riggs,7,5:46,0.4,0,0.1,0.6,0.7,0,0.4,0.4,0.4,0.00,1,3,50,1,2,50,1,2,50,0,0,0,0.000,1,2,50,1.000
Team Why Not,16U,Isaac Hagens,3,4:03,0.3,0,0.3,1,1.3,0.3,0.3,0.6,0,#DIV/0!,0.3,1,0,0,2,0,0,0,0,0,2,0,1.000,1,2,50,1.000
UPLAY,16U,Zachary Downer,4,3:29,0.2,0,0,0.2,0.2,0,0.2,0.2,1,0.00,0,1,0,0,2,0,0,1,0,0,1,0,0.500,1,2,50,1.000
Meanstreets,16U,Blake Wells,5,1:34,0.2,0.2,0.2,0.4,0.6,0,0,0,0.6,0.33,0.2,1,0,0,3,0,0,1,0,0,2,0,0.667,1,1,100,0.333
AOT,16U,Jamil Robinson,4,13:55,0,0.2,1,2,3,0.8,1.5,2.3,1.2,0.17,2.8,0,0,0,7,0,0,7,0,0,0,0,0.000,0,0,0,0.000
All Ohio,16U,Dallas Stewart,4,12:04,0,1.8,0,1,1,1,0,1,2.8,0.64,1,0,0,0,6,0,0,0,0,0,6,0,1.000,0,0,0,0.000
NY Lightning,16U,Erick Dominguez,4,4:37,0,0.2,0,0.2,0.2,0.5,0.2,0.7,0.5,0.40,0.2,0,0,0,3,0,0,1,0,0,2,0,0.667,0,2,0,0.667
Meanstreets,16U,Kierre Miller Jr,2,4:22,0,0,0,0,0,0,0.5,0.5,0,#DIV/0!,0,0,0,0,2,0,0,0,0,0,2,0,1.000,0,0,0,0.000
AZ Unity,16U,Dick Noah,3,11:41,0,0.7,1,1.7,2.7,0.3,0,0.3,0.7,1.00,1.3,0,0,0,6,0,0,4,0,0,2,0,0.333,0,2,0,0.333
Nightrydas,16U,Josh Williams,3,3:14,0,0.7,0,0.7,0.7,0.3,0,0.3,0.3,2.33,0.7,0,0,0,1,0,0,1,0,0,0,0,0.000,0,0,0,0.000
Georgia Stars,16U,Savion Stewart,3,3:09,0,0.3,0,0.3,0.3,0.3,0,0.3,0.7,0.43,0.3,0,0,0,1,0,0,0,0,0,1,0,1.000,0,0,0,0.000
All Ohio,16U,Davion Mack,4,7:43,0,1,0.5,0.2,0.8,0.2,0,0.2,0.5,2.00,1.5,0,0,0,7,0,0,5,0,0,2,0,0.286,0,2,0,0.286
Nightrydas,16U,Joshua Williams,4,1:08,0,0,0,0,0,0,0.2,0.2,0,#DIV/0!,0.5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
City Rocks,16U,Chase Graham,8,5:41,0,0.9,0.1,0.5,0.6,0.1,0,0.1,0.5,1.80,0.6,0,0,0,3,0,0,2,0,0,1,0,0.333,0,0,0,0.000
Bates Fundamentals,16U,Bryson Cooper,7,8:11,0,0,0.1,0.4,0.6,0,0.1,0.1,0.3,0.00,0.7,0,0,0,4,0,0,3,0,0,1,0,0.250,0,0,0,0.000
LivOn,16U,Cyon Bilbrew,1,6:11,0,2,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,1,0,0,1,0,0,0,0,0.000,0,0,0,0.000
AOT,16U,Seann Ingram,5,4:40,0,0.2,0.2,0,0.2,0,0,0,0.2,1.00,1,0,0,0,2,0,0,1,0,0,1,0,0.500,0,0,0,0.000
Team Melo,16U,Enrico Purnell,3,4:12,0,0,0.3,0.3,0.7,0,0,0,0,#DIV/0!,0.3,0,0,0,6,0,0,3,0,0,3,0,0.500,0,0,0,0.000
Team Durant,16U,James DiBitetto,3,3:43,0,0,0.7,0.7,1.3,0,0,0,0.7,0.00,0,0,0,0,6,0,0,5,0,0,1,0,0.167,0,0,0,0.000
Mac Irvin Fire,16U,Dereon Smothers,4,5:10,0,0,0,0.5,0.5,0,0,0,0,#DIV/0!,0,0,0,0,1,0,0,0,0,0,1,0,1.000,0,0,0,0.000
Alabama Fusion,16U,Deng Longar,4,2:59,0,0,0.2,0,0.2,0,0,0,0.5,0.00,1,0,0,0,3,0,0,2,0,0,1,0,0.333,0,0,0,0.000
Meanstreets,16U,Kierre Miller,1,0:44,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,1,0,0,0,0,0,1,0,1.000,0,0,0,0.000
NJ Scholars,16U,Malcolm Musgrove,1,3:35,0,0,0,1,1,0,0,0,1,0.00,0,0,0,0,1,0,0,1,0,0,0,0,0.000,0,2,0,2.000
NJ Scholars,16U,Jaylen Leak,3,2:02,0,0,0.3,0,0.3,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
JL3,16U,Ahmad Hudson,1,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
NJ Scholars,16U,Malcom Musgrove,2,0:45,0,0,0,0,0,0,0,0,0,#DIV/0!,0.5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Alabama Fusion,16U,Triston McDonald,1,1:22,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
PSA Cardinals,16U,Julius Kimani,4,2:39,0,0,0.8,1,1.8,0,0,0,0.5,0.00,1.5,0,0,0,3,0,0,3,0,0,0,0,0.000,0,0,0,0.000
NJ Scholars,16U,Juan Quinnes,1,1:47,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,1,0,0,1,0,0,0,0,0.000,0,0,0,0.000
Team Why Not,16U,Djordan Hall,4,1:14,0,0,0,0,0,0,0,0,0,#DIV/0!,0.2,0,0,0,1,0,0,1,0,0,0,0,0.000,0,0,0,0.000
