Team,Division,Name,Games,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3pr,FTM,FTA,FT%,FTr
Howard Pulley,16U,Gideon Horne,11,11:05,4.1,0.5,1.5,1.5,3,0.4,0.5,0.9,0.6,0.83,1.1,45,47.1,16,34,47.1,16,33,48.5,0,1,0,0.029,13,19,68.4,0.559
Team Thad,16U,Greg Spight,8,12:29,4.1,1.8,0.2,1.2,1.5,0.2,0.1,0.3,0.9,2.00,0.6,33,46.7,12,30,40,8,16,50,4,14,28.6,0.467,5,6,83.3,0.200
Houston Hoops,16U,Sean Mayberry,9,16:00,4,0.9,1.1,2.7,3.8,0.9,1,1.9,1.1,0.82,1.9,36,40,12,30,40,12,24,50,0,6,0,0.200,12,16,75,0.533
AZ Unity,16U,Mayom Mayom,2,12:44,4,0,0.5,3,3.5,0,1.5,1.5,1.5,0.00,1,8,50,3,6,50,3,6,50,0,0,0,0.000,2,4,50,0.667
USC Unleashed,16U,Preston Scott,8,12:30,4,2,0.5,0.4,0.9,1.2,0.1,1.3,1,2.00,1,32,40.5,13,37,35.1,9,24,37.5,4,13,30.8,0.351,2,4,50,0.108
Alabama Fusion,16U,Devon Pruitt,6,14:52,4,1.8,1.8,3,4.8,0.3,0.8,1.1,1,1.80,1.5,24,32.8,10,32,31.2,9,24,37.5,1,8,12.5,0.250,3,6,50,0.188
Team Thad,16U,Davier White,12,13:46,4,0.4,0.6,2.4,3,0.5,0.5,1,0.5,0.80,2,48,29.2,15,65,23.1,7,35,20,8,30,26.7,0.462,10,13,76.9,0.200
Florida Rebels,16U,James Nowells,8,13:32,4,0.9,1.4,0.9,2.2,0.9,0.1,1,0.5,1.80,2.1,32,33.8,11,34,32.4,10,23,43.5,1,11,9.1,0.324,9,13,69.2,0.382
Houston Hoops,16U,Malachi Chatman,4,21:02,4,0.5,1,2.2,3.2,1,0,1,1,0.50,2.8,16,23.5,6,34,17.6,2,9,22.2,4,25,16,0.735,0,0,0,0.000
Mac Irvin Fire,16U,Peyton Miamba,9,12:46,4,0.4,1.1,2.4,3.6,0.4,0.2,0.6,0.6,0.67,1,36,40.6,12,32,37.5,10,21,47.6,2,11,18.2,0.344,10,18,55.6,0.563
AOT,16U,Zhenhe Liu,2,21:26,4,2,1,3.5,4.5,0.5,0,0.5,4,0.50,1.5,8,38.9,3,9,33.3,2,6,33.3,1,3,33.3,0.333,1,4,25,0.444
AB Elite,16U,Kyle Amadi,8,9:21,3.9,0.5,0.8,1.5,2.2,0.8,0,0.8,1.2,0.42,0.9,31,51.8,12,28,42.9,7,14,50,5,14,35.7,0.500,2,3,66.7,0.107
Florida Rebels,16U,Bishop Wenze II,11,8:31,3.9,0.9,1.5,2.1,3.5,0.1,0.5,0.6,0.8,1.13,2.5,43,60.7,17,28,60.7,17,28,60.7,0,0,0,0.000,9,14,64.3,0.500
NY Lightning,16U,Kenny Benedict,4,23:14,3.8,1.5,1.5,3,4.5,1.8,0,1.8,1,1.50,1.2,15,39.5,7,19,36.8,6,14,42.9,1,5,20,0.263,0,0,0,0.000
UPLAY,16U,Zane Sikaneta,12,13:58,3.8,0.5,0.8,2.1,2.9,0.9,0.6,1.5,0.7,0.71,1.6,46,55.7,18,35,51.4,15,29,51.7,3,6,50,0.171,7,15,46.7,0.429
Houston Hoops,16U,Brandon Wright,4,13:55,3.8,1.5,0.8,0.8,1.5,1,0.2,1.2,1.8,0.83,1,15,41.2,7,17,41.2,7,14,50,0,3,0,0.176,1,1,100,0.059
Vegas Elite,16U,Dick Noah,4,7:30,3.8,0.8,1.2,0.5,1.8,1,0,1,1.2,0.67,0.8,15,36.8,7,19,36.8,7,16,43.8,0,3,0,0.158,1,3,33.3,0.158
Boo Williams,16U,Callen Morrison,10,20:36,3.8,3,0.3,1.5,1.8,0.8,0,0.8,1.7,1.76,1.4,38,30.8,13,52,25,7,20,35,6,32,18.8,0.615,6,10,60,0.192
Jet Academy,16U,Deshawn Hall,6,9:11,3.8,0.7,0.7,0.5,1.2,0.2,0.3,0.5,0.3,2.33,1.5,23,65.4,8,13,61.5,7,10,70,1,3,33.3,0.231,6,11,54.5,0.846
Team CP3,16U,Da'qavis Greene,9,5:48,3.8,0.2,1.2,1.8,3,0.1,0.3,0.4,0,#DIV/0!,1.1,34,77.8,14,18,77.8,14,18,77.8,0,0,0,0.000,6,11,54.5,0.611
