"conferenceId","Team ID","Team Market","position","Player Height","Class Year","playerId","jerseyNum","fullName","Games Started","Games Played","Minutes Played","Assist Pct","Assist Pct %ile","Assist Ratio","Assist Ratio %ile","Turnover Pct","Turnover Pct %ile","Ast/Tov Ratio","Ast/Tov Ratio %ile","Usage Pct","Usage Pct %ile","True Shooting %","True Shooting % %ile","2-Point Pct","2-Point Pct %ile","3-Point Pct","3-Point Pct %ile","Free Throw Pct","Free Throw Pct %ile","Off Rebound Pct","Off Rebound Pct %ile","FT Attempt Rate","FT Attempt Rate %ile","3-Point Att Rate","3-Point Att Rate %ile"
"38","104394","VMI","F","77","Sophomore","2328969","0","Cal Liston","22","29","649.51","0.08302","0.57","0.14761","0.78","0.1411","0.54","1.22727","0.77","0.12527","0.15","0.50784","0.2","0.5","0.28","0.32653","0.59","0.66667","0.52","0.03572","0.08","0.14286","0.05","0.77778","0.97"
"38","104394","VMI","F","79","Junior","1925592","44","TJ Johnson","29","29","1056.79","0.08482","0.58","0.06931","0.21","0.09799","0.87","0.76","0.44","0.25197","0.91","0.57028","0.52","0.50459","0.29","0.34708","0.7","0.81752","0.91","0.0459","0.16","0.3425","0.4","0.7275","0.95"
"4","104393","VCU","F","82","Junior","2149054","17","Lazar Djokovic","34","35","967.89","0.07296","0.46","0.08127","0.31","0.12193","0.71","0.72549","0.41","0.21677","0.77","0.63027","0.83","0.55072","0.48","0.34328","0.68","0.78302","0.85","0.07553","0.47","0.77372","0.94","0.24453","0.54"
"4","104393","VCU","F","80","Junior","2113970","8","Michael Belle","0","36","804.92","0.08819","0.61","0.12918","0.68","0.13273","0.61","1.11765","0.71","0.16004","0.38","0.58956","0.63","0.55195","0.49","0.5","0.97","0.5","0.16","0.07403","0.45","0.3299","0.37","0.20619","0.49"
"4","104393","VCU","F","80","Junior","1927927","5","Barry Evans","36","36","954.49","0.14382","0.89","0.20549","0.94","0.13273","0.61","1.94872","0.95","0.15481","0.36","0.50824","0.2","0.51592","0.33","0.31707","0.56","0.52778","0.19","0.07443","0.46","0.15063","0.06","0.3431","0.64"
"4","104393","VCU","F","78","Senior","1612070","2","Jadrian Tracey","36","36","788.65","0.15478","0.91","0.14238","0.76","0.16602","0.36","1","0.66","0.24198","0.88","0.54344","0.37","0.48696","0.21","0.36047","0.76","0.68657","0.57","0.03778","0.09","0.23345","0.18","0.5993","0.89"
"36","104391","Utah Valley","F","82","Junior","2543932","23","Isaac Hawkins","0","31","430.01","0.07902","0.52","0.0873","0.36","0.11816","0.75","0.80952","0.49","0.20711","0.72","0.6956","0.97","0.68067","0.94","0.3","0.49","0.74603","0.75","0.14766","0.96","0.48837","0.69","0.07752","0.35"
"36","104391","Utah Valley","F","80","Sophomore","2333228","1","Isaac Davis","31","31","598.38","0.12926","0.84","0.10397","0.5","0.18502","0.24","0.62712","0.32","0.26704","0.95","0.64063","0.86","0.63131","0.83","0.29412","0.46","0.66667","0.52","0.14565","0.96","0.47442","0.66","0.07907","0.35"
"36","104391","Utah Valley","F","81","Senior","1904042","8","Hayden Welling","1","31","519.24","0.09811","0.67","0.09303","0.41","0.12916","0.64","0.79412","0.47","0.25405","0.92","0.51265","0.22","0.51799","0.33","0.23729","0.3","0.69014","0.58","0.05515","0.24","0.35859","0.43","0.29798","0.6"
"87","104390","Utah St.","F","81","Freshman","2531883","35","Adlan Elamin","28","34","671.03","0.08034","0.53","0.12504","0.65","0.12058","0.73","1.18519","0.75","0.17171","0.48","0.56374","0.47","0.59551","0.7","0.30337","0.5","0.81395","0.91","0.04557","0.15","0.24157","0.19","0.5","0.81"
