Team ,Division,Name,G,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3Pr,FTM,FTA,FT%,FTr
Brad Beal Elite,15U,Anthony Spratt Jr,12,28:34:00,17.6,2,2.1,3.3,5.4,0.8,0.6,1.4,1.8,1.11,2.3,211,52.1,74,164,45.1,51,94,54.3,23,70,32.9,0.427,40,57,70.2,0.348
LivOn,15U,William Nelson Jr.,7,27:44:00,17.3,0.7,3.4,7.1,10.6,1,0.9,1.9,2,0.35,1.9,121,43.8,41,105,39,31,73,42.5,10,32,31.2,0.305,29,40,72.5,0.381
Utah Prospects,15U,Troy Kaufusi,11,28:07:00,17.2,4.4,0.8,3.1,3.9,1.8,0.5,2.3,5.1,0.86,2.3,189,48.7,67,158,42.4,47,96,49,20,62,32.3,0.392,35,45,77.8,0.285
Mokan,15U,Joshua Lindsay,12,28:16:00,17.2,2.2,1.3,3.8,5.1,0.9,0.7,1.6,2.7,0.81,2.2,206,54.7,79,172,45.9,49,97,50.5,30,75,40,0.436,18,27,66.7,0.157
Alabama Fusion,15U,DONAVIN OKOTH,11,27:53:00,17.1,2.1,3.5,3.6,7.2,2.5,1.1,3.6,1.8,1.17,2.2,188,55.1,74,137,54,71,128,55.5,3,9,33.3,0.066,37,56,66.1,0.409
AOT,15U,Bryson Jatta,4,31:11:00,16.8,3,1.5,3.5,5,2.8,0.2,3,3.5,0.86,1,67,42.2,25,64,39.1,21,42,50,4,22,18.2,0.344,13,22,59.1,0.344
AB Elite,15U,Trey Edwards,11,29:30:00,16.8,1,0.7,2.3,3,1.2,0.5,1.7,2.2,0.45,1.4,185,57,66,136,48.5,43,68,63.2,23,68,33.8,0.500,30,40,75,0.294
UPLAY,15U,Noah D'Acre,12,24:12:00,16.8,1.6,1.9,3.6,5.5,0.5,0.8,1.3,2.2,0.73,2.4,201,57.6,68,144,47.2,38,67,56.7,30,77,39,0.535,35,43,81.4,0.299
All Ohio,15U,Evan Roddy,8,21:34,16.6,2.6,2.9,2.6,5.5,1.9,0.6,2.5,1.6,1.63,2,133,46.6,46,116,39.7,30,74,40.5,16,42,38.1,0.362,25,36,69.4,0.310
Oakland Soldiers,15U,Shalen Sheppard,11,27:47:00,16.6,3.1,1.9,5.6,7.5,1.2,1.3,2.5,1.4,2.21,1.7,183,57.9,80,146,54.8,71,120,59.2,9,26,34.6,0.178,14,19,73.7,0.130
Meanstreets,15U,Landon Lampley,4,26:20:00,16.5,1.8,2,3.5,5.5,1,0.2,1.2,3,0.60,1.2,66,55.7,23,44,52.3,20,34,58.8,3,10,30,0.227,17,22,77.3,0.500
Boo Williams,15U,Damien Robinson,12,28:24:00,15.9,2.8,0.8,2.9,3.8,3,0.2,3.2,1.3,2.15,2.5,191,50.9,65,159,40.9,33,77,42.9,32,82,39,0.516,29,37,78.4,0.233
Vegas Elite,15U,Aaron McMorran II,11,19:51,15.6,2.5,0.5,1.9,2.4,1.5,0.6,2.1,2.8,0.89,1.9,172,54.4,62,137,45.3,37,68,54.4,25,69,36.2,0.504,23,26,88.5,0.190
Nightrydas,15U,Josiah Brooks,11,29:35:00,15.5,2.7,0.9,4.2,5.1,2.7,0.5,3.2,2.8,0.96,2.3,170,44.6,49,121,40.5,39,81,48.1,10,40,25,0.331,62,88,70.5,0.727
AB Elite,15U,Benjamin Berrouet,11,24:43:00,15.4,1.4,2.7,6.5,9.2,0.5,1.7,2.2,1.1,1.27,2.3,169,61.1,69,117,59,64,102,62.7,5,15,33.3,0.128,26,41,63.4,0.350
Georgia Stars,15U,Jaden McCullough,7,27:29:00,15.3,3.4,1.3,3.9,5.1,2.6,0.9,3.5,2.1,1.62,1.7,107,52.4,35,85,41.2,16,41,39,19,44,43.2,0.518,18,24,75,0.282
Florida Rebels,15U,Jahmir Wallace,8,28:38:00,14.9,3.5,1.4,6.2,7.6,1.4,0.4,1.8,2.9,1.21,2.5,119,48.1,41,108,38,19,52,36.5,22,56,39.3,0.519,15,30,50,0.278
NW Rotary,15U,Tytan McNeal,11,28:11:00,14.8,3.5,2.7,6,8.7,1.5,1.8,3.3,2,1.75,2,163,55.7,66,123,53.7,61,96,63.5,5,27,18.5,0.220,26,41,63.4,0.333
UPLAY,15U,Toluwanimi Badejo,12,26:25:00,14.8,2.5,2.4,3.6,6,2.1,0.8,2.9,3.2,0.78,1.8,177,47.9,61,146,41.8,43,82,52.4,18,64,28.1,0.438,37,51,72.5,0.349
Meanstreets,15U,Braden Pettigrew,8,30:27:00,14.4,3.5,0.2,4,4.2,1.1,0.5,1.6,2,1.75,1.4,115,52,48,100,48,40,70,57.1,8,30,26.7,0.300,11,16,68.8,0.160
NY Rens,15U,Marque Johnson Jr.,12,27:38:00,14.2,1.2,1.3,5.4,6.8,2.5,0.8,3.3,2.8,0.43,2.5,170,40.6,63,159,39.6,60,136,44.1,3,23,13,0.145,41,64,64.1,0.403
Florida Rebels,15U,Branden Sharpe,11,24:29:00,14.2,1.2,3,4,7,0.9,1.3,2.2,2.7,0.44,2.2,156,52,64,124,51.6,63,118,53.4,1,6,16.7,0.048,27,47,57.4,0.379
Vegas Elite,15U,Dashaun Harris,11,21:34,14.2,3.7,1.5,2.6,4.1,1.8,0.3,2.1,1.6,2.31,1.2,156,54.8,57,115,49.6,45,74,60.8,12,41,29.3,0.357,30,52,57.7,0.452
Boo Williams,15U,D Smith,4,27:22:00,14,3.2,0.2,2,2.2,1.8,0,1.8,4.5,0.71,1.8,56,42.6,20,54,37,14,34,41.2,6,20,30,0.370,10,18,55.6,0.333
Nightrydas,15U,Cayden Gaskins,10,29:29:00,14,1.8,2.2,5.9,8.1,1.4,0.2,1.6,3.8,0.47,1.1,140,44.2,57,138,41.3,49,109,45,8,29,27.6,0.210,18,27,66.7,0.196
Team Thad,15U,Braylon Williams,12,29:45:00,14,4,1.6,2.8,4.4,1.4,0,1.4,1,4.00,1.3,168,43.8,58,146,39.7,46,93,49.5,12,53,22.6,0.363,40,47,85.1,0.322
Boo Williams,15U,Baganley Donzo,7,27:09:00,13.9,1,4.6,3,7.6,1,3,4,1,1.00,2.4,97,60,42,70,60,42,70,60,0,0,0,0.000,13,24,54.2,0.343
Team United,15U,Chase Smith,9,21:42,13.9,1.1,2.7,3.9,6.6,2.1,1.2,3.3,1.4,0.79,1.2,125,58.9,56,95,58.9,56,88,63.6,0,7,0,0.074,13,26,50,0.274
NJ Scholars,15U,Shane Jacobs,12,24:04:00,13.9,1.6,0.6,1.8,2.3,1.6,0.3,1.9,2.5,0.64,2,167,59.5,60,132,45.5,23,47,48.9,37,85,43.5,0.644,10,11,90.9,0.083
Jet Academy,15U,Brielen Craft,11,27:39:00,13.8,3.8,0.9,2.3,3.2,1.1,0.2,1.3,3.1,1.23,2.6,152,41.9,55,155,35.5,35,85,41.2,20,70,28.6,0.452,22,27,81.5,0.174
Houston Hoops,15U,Korben Goodwin,11,27:13:00,13.8,0.6,2.9,5.2,8.1,0.8,0.4,1.2,1.6,0.38,1,152,39.4,57,151,37.7,52,124,41.9,5,27,18.5,0.179,33,57,57.9,0.377
Brad Beal Elite,15U,Jordan Mitchell,12,26:07:00,13.8,3.2,2.1,3.1,5.2,1,0.1,1.1,2.7,1.19,1.1,165,51,64,143,44.8,46,84,54.8,18,59,30.5,0.413,19,37,51.4,0.259
Expressions ,15U,Brayden Buckley,12,26:41:00,13.7,3.6,0.9,3.2,4.2,1.7,0.6,2.3,2.7,1.33,1.5,164,61,67,123,54.5,51,84,60.7,16,39,41,0.317,14,20,70,0.163
Jet Academy,15U,Ezra Gelin,11,26:00:00,13.6,3.3,1.3,3.4,4.6,1.8,0.5,2.3,1.6,2.06,2.2,150,56.1,62,114,54.4,58,99,58.6,4,15,26.7,0.132,22,35,62.9,0.307
Team Herro,15U,Tre Moore,12,26:42:00,13.6,2,1.1,3.2,4.3,1.9,0.1,2,2.1,0.95,1.2,163,47.1,64,155,41.3,46,98,46.9,18,57,31.6,0.368,17,33,51.5,0.213
Team United,15U,Micah Gunter,11,22:15,13.5,3.3,1.4,2.2,3.5,2.6,0.3,2.9,1.8,1.83,2.3,149,50.7,63,139,45.3,48,86,55.8,15,53,28.3,0.381,8,12,66.7,0.086
Indy Heat,15U,Dylan Zeigler,4,28:28:00,13.5,4,0.5,1.8,2.2,0.5,0,0.5,2.2,1.82,1.2,54,41.5,19,53,35.8,13,34,38.2,6,19,31.6,0.358,10,13,76.9,0.245
NY Lightning,15U,Stephan Ragoonanansingh,12,26:00:00,13.4,5.3,1.4,2.6,4,2.3,0.5,2.8,3.1,1.71,2.1,161,51.1,65,135,48.1,57,96,59.4,8,39,20.5,0.289,23,34,67.6,0.252
NW Rotary,15U,Steven Sun,11,25:50:00,13.4,2.2,0.9,1.4,2.3,1,0,1,1.3,1.69,0.9,147,66.7,51,99,51.5,21,35,60,30,64,46.9,0.646,15,18,83.3,0.182
City Rocks,15U,Nolyn Proudfoot,12,21:14,13.2,0.7,0.5,1.6,2.1,1.1,0.1,1.2,1.5,0.47,1.8,159,53.8,59,133,44.4,34,60,56.7,25,73,34.2,0.549,16,19,84.2,0.143
Team Why Not,15U,Javez Coleby,7,22:36,13.1,0.4,3.1,3.7,6.9,0.3,1,1.3,1.9,0.21,2.6,92,63,34,54,63,34,54,63,0,0,0,0.000,24,45,53.3,0.833
Houston Hoops,15U,Marcus Epps,7,26:40:00,12.9,2.9,2,2.3,4.3,1.4,0.3,1.7,2.3,1.26,2.1,90,41.8,35,92,38,28,71,39.4,7,21,33.3,0.228,13,15,86.7,0.163
Meanstreets,15U,Ethan Vahl,12,25:51:00,12.9,4.2,1.8,4.7,6.5,1.1,0.4,1.5,3.9,1.08,3,155,50.4,53,128,41.4,30,58,51.7,23,70,32.9,0.547,26,33,78.8,0.258
Mokan,15U,Keaton Murry,12,24:24:00,12.8,2.8,1,2.5,3.5,1.9,0.7,2.6,0.8,3.50,1.7,153,55.4,56,120,46.7,35,57,61.4,21,63,33.3,0.525,20,33,60.6,0.275
AOT,15U,Jaden Johnson,4,26:02:00,12.8,2.5,1,2,3,1.2,0.2,1.4,2.5,1.00,1.2,51,54.7,19,43,44.2,10,23,43.5,9,20,45,0.465,4,6,66.7,0.140
Mac Irvin Fire,15U,Austin Sears,4,16:45,12.8,1.2,0,1.8,1.8,0.5,0.2,0.7,2.2,0.55,1,51,67.7,17,31,54.8,9,15,60,8,16,50,0.516,9,9,100,0.290
Team Final,15U,Carter Smith,12,24:03:00,12.7,2.7,1.6,3.2,4.8,1.9,1,2.9,2.8,0.96,1.9,152,54.5,50,101,49.5,40,77,51.9,10,24,41.7,0.238,42,59,71.2,0.584
JL3,15U,Tyylon Ennis McIntyre,11,23:15,12.7,2.9,1.5,3.2,4.7,1.8,0.5,2.3,1,2.90,2.3,140,60.4,59,111,53.2,43,64,67.2,16,47,34,0.423,6,12,50,0.108
NW Rotary,15U,JJ Crawford,11,26:15:00,12.6,2.4,0.6,0.3,0.9,0.7,0.2,0.9,1.1,2.18,0.7,139,64.2,50,106,47.2,14,27,51.9,36,79,45.6,0.745,3,5,60,0.047
Nightrydas,15U,King McFadden,11,29:40:00,12.5,2.4,2.5,3.2,5.7,2.5,0.6,3.1,2,1.20,1.5,138,54,56,113,49.6,46,79,58.2,10,34,29.4,0.301,16,21,76.2,0.186
Team United,15U,Isaac Smith,11,23:22,12.5,1.7,1.2,3.1,4.3,0.9,0.8,1.7,1.4,1.21,1.5,137,57.8,56,115,48.7,35,52,67.3,21,63,33.3,0.548,4,9,44.4,0.078
AZ Unity,15U,Lleyton Leonard,10,23:12,12.4,2.5,2.2,4.8,7,1.8,0.3,2.1,1.6,1.56,2,124,53.1,51,97,52.6,50,84,59.5,1,13,7.7,0.134,21,35,60,0.361
AZ Unity,15U,Maurice Carter II,11,24:51:00,12.4,2.1,0.5,2.5,3,1.5,0.1,1.6,2.4,0.88,1.3,136,50.5,47,109,43.1,31,75,41.3,16,34,47.1,0.312,26,41,63.4,0.376
Legynds,15U,David Douglas,12,28:49:00,12.3,3.9,0.6,3.2,3.8,2.3,0.7,3,2.2,1.77,2.1,148,46.1,62,142,43.7,55,106,51.9,7,36,19.4,0.254,17,25,68,0.176
AZ Unity,15U,Jakyi Miles,11,27:55:00,12.3,4.2,0.4,3.5,3.9,1.9,0.6,2.5,2.5,1.68,1.1,135,42.6,51,136,37.5,37,83,44.6,14,53,26.4,0.390,19,33,57.6,0.243
Team Final,15U,Logan Chwastyk,12,20:58,12.2,0.3,4.6,5,9.6,1.1,1.9,3,1.2,0.25,2.5,146,50.8,61,122,50,59,115,51.3,2,7,28.6,0.057,22,44,50,0.361
LivOn,15U,Curtis Mcallister,8,25:01:00,12.1,0.8,1,3.6,4.6,2.6,1,3.6,1.4,0.57,2,97,50.7,35,73,47.9,31,50,62,4,23,17.4,0.315,23,29,79.3,0.397
Team CP3,15U,Mason Collins,8,26:36:00,12,3.9,2,4.6,6.6,1.5,0.8,2.3,1.6,2.44,1,96,47.8,42,93,45.2,37,75,49.3,5,18,27.8,0.194,7,14,50,0.151
Team Melo,15U,Landon Sallie,4,20:10,12,1.2,0.2,1.2,1.5,0.2,0,0.2,1.5,0.80,0.8,48,75.8,17,31,54.8,4,5,80,13,26,50,0.839,1,1,100,0.032
Pro Skills,15U,Kayden Primus,7,21:05,11.9,2.1,0.4,2.6,3,0.6,0.6,1.2,3.7,0.57,2.6,83,54.3,30,70,42.9,14,37,37.8,16,33,48.5,0.471,7,8,87.5,0.114
NJ Scholars,15U,Rezon Harris,8,27:38:00,11.8,1.9,0.5,4.5,5,1.8,0.4,2.2,2.5,0.76,1.5,94,42.5,32,107,29.9,5,15,33.3,27,92,29.3,0.860,3,5,60,0.047
Team Herro,15U,Darrius Hawkins Jr,12,28:07:00,11.8,3.7,0.3,2.4,2.8,1.9,0,1.9,2,1.85,2.2,142,42.3,57,150,38,44,93,47.3,13,57,22.8,0.380,15,24,62.5,0.160
NY Lightning,15U,Kevin Wheatlly,8,23:15,11.8,1.4,0.4,4.5,4.9,1.1,0.1,1.2,3.1,0.45,2.4,94,48.6,29,71,40.8,18,38,47.4,11,33,33.3,0.465,25,34,73.5,0.479
Georgia Stars,15U,Peter Julius,7,26:46:00,11.7,0.1,4.4,7.6,12,0.9,2.3,3.2,1.3,0.08,1.9,82,52.2,36,69,52.2,36,69,52.2,0,0,0,0.000,10,20,50,0.290
Boo Williams,15U,Lorenzo Bunch,9,22:01,11.7,1.8,1.4,3.7,5.1,1,0,1,2.4,0.75,2.1,105,45,34,90,37.8,21,46,45.7,13,44,29.5,0.489,24,33,72.7,0.367
Team Why Not,15U,Kainoa Patton,4,27:45:00,11.5,1.8,1.5,1.5,3,0.5,1.8,2.3,3,0.60,1.5,46,36.8,18,53,34,15,38,39.5,3,15,20,0.283,7,11,63.6,0.208
Florida Rebels,15U,Josiah Gillard,11,27:35:00,11.5,4.1,0.4,2.5,2.9,1.5,0.2,1.7,2.5,1.64,2.5,126,46.9,44,112,39.3,27,54,50,17,58,29.3,0.518,21,32,65.6,0.286
PSA Cardinals,15U,Malik Moore,10,25:22:00,11.4,2.4,1.3,2.8,4.1,1.7,0.5,2.2,2.3,1.04,1.7,114,48,43,101,42.6,32,59,54.2,11,42,26.2,0.416,17,37,45.9,0.366
LivOn,15U,Rhys Diley,11,26:00:00,11.3,2.2,1.1,2.4,3.5,1.5,0.2,1.7,1.5,1.47,1.9,124,50,39,95,41.1,22,55,40,17,40,42.5,0.421,29,40,72.5,0.421
Drive Nation,15U,Justin Harper Jr,11,25:43:00,11.2,1.5,1.2,4.4,5.5,2.2,0.5,2.7,1.7,0.88,2.1,123,51.8,42,111,37.8,11,26,42.3,31,85,36.5,0.766,8,11,72.7,0.099
Mokan,15U,Jesiah Buchanan,12,24:09:00,11.2,1.7,2.2,4,6.2,1.1,0.4,1.5,1.5,1.13,2.2,134,60.5,48,81,59.3,46,74,62.2,2,7,28.6,0.086,36,49,73.5,0.605
UPLAY,15U,Nicholas Wuthrich,12,26:15:00,11.2,2.4,0.9,2.1,3,1.1,0.1,1.2,3.2,0.75,1.2,135,46.6,56,131,42.7,46,90,51.1,10,41,24.4,0.313,13,20,65,0.153
Houston Hoops,15U,Marcus Epps,4,27:45:00,11.2,0.8,3.2,4.2,7.5,0.8,0,0.8,2.5,0.32,1.5,45,32.8,18,58,31,16,45,35.6,2,13,15.4,0.224,7,10,70,0.172
Team Thad,15U,Kaharri Coleman,12,23:04,11.1,2.8,1.6,3,4.6,1.8,0.8,2.6,1.9,1.47,2.7,133,50.9,50,109,45.9,39,69,56.5,11,40,27.5,0.367,22,33,66.7,0.303
AOT,15U,Johnquell Garner,3,24:55:00,11,1,2.7,6.3,9,0.7,2,2.7,1.7,0.59,3,33,50,13,26,50,13,25,52,0,1,0,0.038,7,14,50,0.538
NY Rens,15U,William Brunson,4,21:40,11,3.2,1.8,5,6.8,1.8,0.8,2.6,2.8,1.14,1.8,44,44.3,18,44,40.9,15,30,50,3,14,21.4,0.318,5,7,71.4,0.159
Team Why Not,15U,Kainoa Patton,4,21:17,11,2,1.5,0.8,2.2,1,1.5,2.5,1.2,1.67,2.2,44,46.2,17,39,43.6,15,29,51.7,2,10,20,0.256,8,13,61.5,0.333
Mokan,15U,Halbert Jackson,12,23:19,11,2.3,2.8,4.2,7,1.6,0.7,2.3,1.8,1.28,1.7,132,51.9,54,108,50,50,95,52.6,4,13,30.8,0.120,20,30,66.7,0.278
LivOn,15U,William Nelson Jr.,4,26:17:00,11,2.2,1.2,6.5,7.8,0.2,1.5,1.7,2.8,0.79,1.8,44,43.8,20,48,41.7,18,38,47.4,2,10,20,0.208,2,3,66.7,0.063
Florida Rebels,15U,Raymond Lopez III,3,23:26,11,1.3,1.7,2.3,4,1,0.7,1.7,2.7,0.48,2,33,43.2,15,37,40.5,13,29,44.8,2,8,25,0.216,1,3,33.3,0.081
Pro Skills,15U,Sutter Wechsler,11,24:21:00,11,0.4,0.6,1.9,2.5,0.7,0,0.7,3.1,0.13,2.3,121,45.3,40,118,33.9,13,42,31,27,76,35.5,0.644,14,18,77.8,0.153
Expressions ,15U,Braylon Washington,10,20:51,10.9,2,1.3,2.7,4,2.3,0.1,2.4,2.1,0.95,1,109,47.4,40,97,41.2,28,57,49.1,12,40,30,0.412,17,23,73.9,0.237
The Family,15U,Kashawn Gill,11,21:43,10.9,1.6,0.3,2.4,2.6,1.3,0.1,1.4,3.4,0.47,2.1,120,41.2,41,120,34.2,24,60,40,17,60,28.3,0.500,21,30,70,0.250
Team United,15U,Jahriq Sati-Grier,11,22:44,10.8,4.6,0.9,2.7,3.6,3.5,0.1,3.6,2.1,2.19,2.1,119,44.6,43,101,42.6,39,71,54.9,4,30,13.3,0.297,29,44,65.9,0.436
Utah Prospects,15U,Joshua Tolman,11,23:17,10.8,2.4,1.7,5,6.7,1.3,1.7,3,2.6,0.92,3.4,119,52.2,48,92,52.2,48,86,55.8,0,6,0,0.065,23,35,65.7,0.380
Team Takeover,15U,Xavier Skipworth,11,20:49,10.8,2.2,1.5,2.5,3.9,0.6,0,0.6,1.3,1.69,1.1,119,53.6,50,98,51,45,82,54.9,5,16,31.2,0.163,14,21,66.7,0.214
Oakland Soldiers,15U,Justin Kimbrow,7,22:13,10.7,2.4,0.7,1.9,2.6,2,0.1,2.1,2,1.20,1.4,75,43,26,71,36.6,17,40,42.5,9,31,29,0.437,14,21,66.7,0.296
Legynds,15U,Kingston Gould,12,26:00:00,10.7,2.9,0.8,3.2,3.9,1.8,0.2,2,1.4,2.07,1.5,128,54.9,43,91,47.3,29,58,50,14,33,42.4,0.363,28,42,66.7,0.462
AOT,15U,LJ Byrd,6,25:08:00,10.7,0.7,2.8,2.5,5.3,0.8,0.8,1.6,1.5,0.47,2.5,64,39.7,21,63,33.3,13,40,32.5,8,23,34.8,0.365,14,34,41.2,0.540
LivOn,15U,Dreylon Okey,11,21:52,10.6,0.5,2.2,2.8,5,1.1,0.5,1.6,2.1,0.24,2.2,117,52.1,47,94,50,43,77,55.8,4,17,23.5,0.181,19,31,61.3,0.330
Team CP3,15U,Sherod Mccormick,12,27:09:00,10.6,3.6,0.4,2.8,3.2,1.2,0.2,1.4,2.4,1.50,1.5,127,41.3,43,121,35.5,29,69,42,14,52,26.9,0.430,27,44,61.4,0.364
Vegas Elite,15U,Hudson Dannels,11,21:12,10.6,0.8,0.8,4,4.8,0.5,0.5,1,0.8,1.00,1.7,117,55.9,43,101,42.6,16,33,48.5,27,68,39.7,0.673,4,4,100,0.040
Alabama Fusion,15U,Erick Dampier Jr,11,26:33:00,10.5,2.4,4.4,8.4,12.7,1,2.5,3.5,1.9,1.26,2.1,116,57.3,51,89,57.3,51,89,57.3,0,0,0,0.000,14,34,41.2,0.382
Oakland Soldiers,15U,Boss Mhoon,11,25:06:00,10.5,1.6,1.1,3.4,4.5,1.4,1.7,3.1,1.3,1.23,1.7,116,56.7,46,90,51.1,36,63,57.1,10,27,37,0.300,14,20,70,0.222
Team United,15U,Jaleel Smith,11,22:05,10.5,4.1,2.9,2.4,5.3,2.6,0.3,2.9,1.3,3.15,2.4,115,44.8,43,97,44.3,42,77,54.5,1,20,5,0.206,28,40,70,0.412
Mac Irvin Fire,15U,A Sears,4,19:29,10.5,1.8,0.2,1,1.2,1,0,1,3,0.60,1.2,42,43,15,43,34.9,8,20,40,7,23,30.4,0.535,5,8,62.5,0.186
Brad Beal Elite,15U,Miles Simpson,10,27:11:00,10.4,2.4,1.9,4.2,6.1,1.4,0.9,2.3,2,1.20,0.9,104,43.3,40,97,41.2,36,82,43.9,4,15,26.7,0.155,20,40,50,0.412
Team Durant,15U,Brayden Ragland,11,20:25,10.4,0.8,4.5,1.9,6.4,1.1,0.3,1.4,1.5,0.53,1.5,114,55.4,49,92,53.3,45,85,52.9,4,7,57.1,0.076,12,21,57.1,0.228
PG Elite,15U,Martray Bagley,11,25:37:00,10.4,1.1,0.5,2.4,2.9,0.5,0.2,0.7,2.2,0.50,2.3,114,35.1,32,114,28.1,16,53,30.2,16,61,26.2,0.535,34,53,64.2,0.465
Georgia Stars,15U,Culen Browne,11,26:31:00,10.3,2.5,0.5,2.2,2.7,0.9,0.3,1.2,1.4,1.79,1.3,113,54.2,44,96,45.8,28,55,50.9,16,41,39,0.427,9,11,81.8,0.115
NY Rens,15U,Justin Desena,12,28:26:00,10.2,1.4,1.8,2.8,4.6,2.7,0.2,2.9,0.9,1.56,0.9,122,50.5,44,111,39.6,20,47,42.6,24,64,37.5,0.577,10,11,90.9,0.099
Team CP3,15U,Xavier Hall,12,22:27,10.2,0.7,3.2,4.5,7.7,0.4,2.3,2.7,1.1,0.64,1.6,122,63.1,53,84,63.1,53,83,63.9,0,1,0,0.012,16,53,30.2,0.631
Team CP3,15U,Bentley Lusakueno,8,24:21:00,10.2,2.4,2.1,4.4,6.5,1.4,0.8,2.2,2.5,0.96,1.6,82,57.5,35,67,52.2,28,45,62.2,7,22,31.8,0.328,5,9,55.6,0.134
Team Melo,15U,AARON EARLY Jr,11,21:38,10.2,2.4,1.4,2.5,3.9,1.5,0,1.5,1.1,2.18,1.1,112,43.4,46,113,40.7,40,90,44.4,6,23,26.1,0.204,14,20,70,0.177
Indy Heat,15U,Landon Lampley,4,21:42,10,1,2,3.8,5.8,1.5,1,2.5,4.8,0.21,1.8,40,34.4,14,45,31.1,11,33,33.3,3,12,25,0.267,9,17,52.9,0.378
Indy Heat,15U,Max Hopkins,4,17:01,10,0.8,2.5,4.2,6.8,0.8,0.8,1.6,1.2,0.67,1.8,40,71.2,17,26,65.4,14,22,63.6,3,4,75,0.154,3,5,60,0.192
PG Elite,15U,Kainoa Patton,2,21,10,4,2.5,0.5,3,1.5,0,1.5,2,2.00,1.5,20,38.9,7,18,38.9,7,16,43.8,0,2,0,0.111,6,7,85.7,0.389
PG Elite,15U,Houston Rolle,8,20:02,9.9,1.6,1.8,3.5,5.2,1,1.1,2.1,1.8,0.89,1.5,79,59.8,26,51,51,17,34,50,9,17,52.9,0.333,18,26,69.2,0.510
NW Rotary,15U,Owen Eteuati Edwards,11,24:45:00,9.9,4.4,1.6,6.3,7.9,1.3,0.1,1.4,3.3,1.33,2.7,109,50,40,84,47.6,36,71,50.7,4,13,30.8,0.155,25,43,58.1,0.512
Team Melo,15U,Billy Stanfield III,11,24:04:00,9.9,1.6,2.9,4.3,7.2,0.6,0.7,1.3,1.5,1.07,2.2,109,40,42,115,36.5,34,85,40,8,30,26.7,0.261,17,25,68,0.217
Georgia Stars,15U,Jaden McCullough,4,26:53:00,9.8,1.8,0.5,1.5,2,1.2,0.5,1.7,2,0.90,1.8,39,39.7,12,39,30.8,5,15,33.3,7,24,29.2,0.615,8,10,80,0.256
NY Lightning,15U,Infinite Sincere Amen-Ra,12,24:07:00,9.8,2.7,0.8,1.2,1.9,1.3,0.2,1.5,2,1.35,2.2,117,46.5,41,101,40.6,29,63,46,12,38,31.6,0.376,23,30,76.7,0.297
Team Takeover,15U,Braxton Bogard,4,16:23,9.8,0.8,2.8,2.5,5.2,0,1.2,1.2,1.8,0.44,2.2,39,63.5,16,26,61.5,15,24,62.5,1,2,50,0.077,6,8,75,0.308
