Team ,Division,Name,G,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3Pr,FTM,FTA,FT%,FTr
Georgia Stars,15U,Calvin Goss IV,4,13:36,1.2,1.5,1,0.5,1.5,1.2,0.2,1.4,1.5,1.00,1,5,25,2,10,20,1,6,16.7,1,4,25,0.400,0,0,0,0.000
Team Melo,15U,Luke Arulefela,11,8:36,1.2,1,0.4,1.4,1.7,0.7,0,0.7,0.7,1.43,1.2,13,19.6,4,23,17.4,3,16,18.8,1,7,14.3,0.304,4,12,33.3,0.522
Team Thad,15U,Ricky Moore,6,6:30,1.2,0.7,0.2,0.5,0.7,0.3,0,0.3,0.3,2.33,0.2,7,33.3,2,6,33.3,2,3,66.7,0,3,0,0.500,3,5,60,0.833
Team Melo,15U,Jaliel Spears,7,8:09,1.1,0.1,0.4,1.1,1.6,0.9,0.4,1.3,0.6,0.17,1.6,8,50,4,8,50,4,8,50,0,0,0,0.000,0,1,0,0.125
Team Herro,15U,Kellan Larkin,10,8:03,1.1,0.5,0.7,0.9,1.6,0.6,0.1,0.7,0.3,1.67,0.9,11,32.1,4,14,28.6,3,8,37.5,1,6,16.7,0.429,2,3,66.7,0.214
AB Elite,15U,Jaxon Nordyke,11,8:12,1.1,0.7,0.1,0.7,0.8,0.5,0,0.5,0.5,1.40,1.1,12,38.9,3,9,33.3,2,4,50,1,5,20,0.556,5,5,100,0.556
Houston Hoops,15U,R'Monie Edwards,7,6:26,1.1,0.4,0.6,1.6,2.1,0.1,0.4,0.5,0.6,0.67,1.7,8,40,4,10,40,4,10,40,0,0,0,0.000,0,3,0,0.300
Oakland Soldiers,15U,Rashaan Shehee,7,11:12,1,1.6,0.1,1,1.1,1,0,1,1.1,1.45,1.1,7,38.9,3,9,33.3,2,5,40,1,4,25,0.444,0,2,0,0.222
NW Rotary,15U,Dez Aniagyei,4,8:21,1,0.2,1.5,1.2,2.8,0,0.8,0.8,0.2,1.00,0,4,28.6,2,7,28.6,2,7,28.6,0,0,0,0.000,0,2,0,0.286
NJ Scholars,15U,Jacob Wisniowski,4,10:11,1,0.5,0.2,1.2,1.5,0.5,0.2,0.7,0.2,2.50,0.8,4,20,1,5,20,1,5,20,0,0,0,0.000,2,2,100,0.400
NJ Scholars,15U,Jacob Robert Wisniowski,7,6:51,1,0.3,0.9,1.3,2.1,0.4,0.1,0.5,0.6,0.50,0.7,7,58.3,3,6,50,2,4,50,1,2,50,0.333,0,0,0,0.000
AOT,15U,Caden Gildon,2,14:08,1,0.5,0.5,0,0.5,0.5,0,0.5,1,0.50,0,2,20,1,5,20,1,4,25,0,1,0,0.200,0,0,0,0.000
Boo Williams,15U,Mamadi Sanoh,4,4:07,1,0,0.8,0.2,1,0.2,0.2,0.4,0.2,0.00,1.2,4,40,2,5,40,2,5,40,0,0,0,0.000,0,0,0,0.000
Team Herro,15U,Shane Lunford,4,10:50,1,0.2,0,0.5,0.5,0,0,0,1,0.20,0.8,4,20,2,10,20,2,7,28.6,0,3,0,0.300,0,0,0,0.000
AZ Unity,15U,Jakobe Ross,1,5:26,1,0,1,0,1,0,0,0,0,#DIV/0!,0,1,0,0,2,0,0,0,0,0,2,0,1.000,1,2,50,1.000
Mac Irvin Fire,15U,Alvin Robinson III,2,5:11,1,0.5,0,0,0,0,0,0,1,0.50,0.5,2,33.3,1,3,33.3,1,2,50,0,1,0,0.333,0,0,0,0.000
Florida Rebels,15U,Dante Rivers,10,3:54,0.9,0.3,0.2,0.6,0.8,0.3,0.1,0.4,0.3,1.00,0.5,9,45,3,10,30,0,1,0,3,9,33.3,0.900,0,0,0,0.000
Drive Nation,15U,Shiloh Shields,7,3:26,0.9,0,0.3,0.6,0.9,0.1,0.3,0.4,0,#DIV/0!,0.7,6,42.9,3,7,42.9,3,7,42.9,0,0,0,0.000,0,0,0,0.000
PSA Cardinals,15U,Anthony Blackmon,7,3:16,0.9,0,0.1,0.3,0.4,0.3,0,0.3,0.3,0.00,0.7,6,31.2,2,8,25,1,5,20,1,3,33.3,0.375,1,2,50,0.250
Team Why Not,15U,mook Kaffey,4,5:23,0.8,0.5,0,0.5,0.5,0.8,0.2,1,1,0.50,0.2,3,25,1,6,16.7,0,0,0,1,6,16.7,1.000,0,0,0,0.000
LivOn,15U,Brennon Moreno,5,10:08,0.8,0,0.4,1.6,2,0,0.4,0.4,0.4,0.00,0.6,4,40,2,5,40,2,4,50,0,1,0,0.200,0,0,0,0.000
Team Why Not,15U,Levi Wolfgang Frisch,3,7:06,0.7,0,1,0.3,1.3,0,0.3,0.3,0.7,0.00,1.3,2,20,1,5,20,1,2,50,0,3,0,0.600,0,0,0,0.000
Team Herro,15U,Nick Gyill,3,5:23,0.7,0.7,0.7,1.3,2,0.3,0,0.3,1,0.70,0.3,2,0,0,2,0,0,2,0,0,0,0,0.000,2,2,100,1.000
NY Rens,15U,Joden Bolling,6,2:44,0.7,0.2,0.3,0.3,0.7,0.2,0,0.2,0.3,0.67,0,4,28.6,2,7,28.6,2,6,33.3,0,1,0,0.143,0,0,0,0.000
AOT,15U,Jace Orivabor,3,4:16,0.7,0,0.7,1,1.7,0,0,0,0,#DIV/0!,1.7,2,50,1,2,50,1,2,50,0,0,0,0.000,0,0,0,0.000
Team Why Not,15U,Azike Nwankwo,3,3:16,0.7,0,0.3,0.7,1,0,0,0,1,0.00,0.3,2,100,1,1,100,1,1,100,0,0,0,0.000,0,0,0,0.000
The Family,15U,Kobe Drake,3,2:38,0.7,0,0.3,0.3,0.7,0,0,0,0,#DIV/0!,0,2,50,1,2,50,1,2,50,0,0,0,0.000,0,0,0,0.000
NW Rotary,15U,Vonchae Richardson,7,5:55,0.6,0.6,0.3,0.6,0.9,0.3,0.1,0.4,0.3,2.00,0.9,4,22.2,2,9,22.2,2,6,33.3,0,3,0,0.333,0,0,0,0.000
Meanstreets,15U,John Brown IV,8,1:11,0.6,0,0.4,0.1,0.5,0,0,0,0.1,0.00,0.2,5,150,1,1,100,0,0,0,1,1,100,1.000,2,2,100,2.000
Indy Heat,15U,Qwayland Howard,4,8:33,0.5,0,0.8,1.2,2,0,1.2,1.2,0.8,0.00,1,2,20,1,5,20,1,5,20,0,0,0,0.000,0,2,0,0.400
The Family,15U,King Pierce-Black,4,8:08,0.5,0,0.5,0.8,1.2,0,1.2,1.2,0.8,0.00,0.8,2,50,1,2,50,1,2,50,0,0,0,0.000,0,2,0,1.000
Indy Heat,15U,Dwayland Howard,4,14:36,0.5,0,0.2,2,2.2,0,0.8,0.8,0.5,0.00,2.8,2,0,0,2,0,0,2,0,0,0,0,0.000,2,4,50,2.000
Boo Williams,15U,Alseny Keita,4,5:17,0.5,0,1,0.8,1.8,0,0.2,0.2,0,#DIV/0!,0.8,2,20,1,5,20,1,5,20,0,0,0,0.000,0,0,0,0.000
Team Why Not,15U,Thomas Duncan,7,4:02,0.4,0.1,0.1,0.4,0.6,0.1,0,0.1,0.3,0.33,0.1,3,13.6,1,11,9.1,0,3,0,1,8,12.5,0.727,0,0,0,0.000
Team Why Not,15U,Ethan Frank,3,8:40,0.3,0.7,0.7,0.7,1.3,0.3,0.3,0.6,0,#DIV/0!,2,1,0,0,3,0,0,2,0,0,1,0,0.333,1,2,50,0.667
AOT,15U,Xavier Evans,6,6:25,0.3,0.3,0.3,1.2,1.5,0.2,0.2,0.4,0.3,1.00,0.5,2,25,1,4,25,1,4,25,0,0,0,0.000,0,1,0,0.250
Drive Nation,15U,Chase Davis,7,5:22,0.3,0,0.4,0.7,1.1,0.1,0,0.1,0,#DIV/0!,0.7,2,0,0,5,0,0,4,0,0,1,0,0.200,2,2,100,0.400
Meanstreets,15U,Tristen Adams,6,1:21,0.3,0,0.2,0.2,0.3,0,0,0,0,#DIV/0!,0.5,2,50,1,2,50,1,2,50,0,0,0,0.000,0,0,0,0.000
Drive Nation,15U,Cannen Brunson,8,4:29,0.2,0.1,0.1,0.9,1,0,0,0,0.2,0.50,1,2,16.7,1,6,16.7,1,5,20,0,1,0,0.167,0,4,0,0.667
Georgia Stars,15U,Majok Mayuen,1,6:50,0,0,2,1,3,1,0,1,2,0.00,1,0,0,0,2,0,0,1,0,0,1,0,0.500,0,0,0,0.000
Georgia Stars,15U,Majok Mayuen,1,8:51,0,0,0,2,2,1,0,1,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
NJ Scholars,15U,Ahmad Cook,1,8:34,0,0,0,1,1,0,1,1,0,#DIV/0!,1,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Team Thad,15U,T Maxwell,1,2:22,0,0,0,0,0,1,0,1,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Boo Williams,15U,Alseny Keita,2,3:00,0,0,0,1,1,0,0.5,0.5,0,#DIV/0!,0,0,0,0,1,0,0,1,0,0,0,0,0.000,0,0,0,0.000
JL3,15U,Jeremiah Humphries,3,7:26,0,0,0.7,0.3,1,0.3,0,0.3,0,#DIV/0!,1.7,0,0,0,3,0,0,1,0,0,2,0,0.667,0,0,0,0.000
Legynds,15U,Kaimen Robinson,3,2:36,0,0,0.3,0,0.3,0.3,0,0.3,0,#DIV/0!,0,0,0,0,2,0,0,2,0,0,0,0,0.000,0,0,0,0.000
Brad Beal Elite,15U,Cooper McManaway,4,2:24,0,0,0.2,0.5,0.8,0.2,0,0.2,0.2,0.00,0.5,0,0,0,2,0,0,0,0,0,2,0,1.000,0,0,0,0.000
Team Herro,15U,Reymundo Garibay,6,5:53,0,0.3,0.3,0.3,0.7,0.2,0,0.2,0,#DIV/0!,0,0,0,0,4,0,0,2,0,0,2,0,0.500,0,0,0,0.000
Legynds,15U,Cameron Collins,3,2:04,0,0,0,0,0,0,0,0,0.3,0.00,0.3,0,0,0,2,0,0,0,0,0,2,0,1.000,0,0,0,0.000
All Ohio,15U,Cam Johnson,1,13:20,0,0,0,0,0,0,0,0,2,0.00,0,0,0,0,2,0,0,1,0,0,1,0,0.500,0,0,0,0.000
Georgia Stars,15U,Luka Kokoskov,1,0:35,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,1,0,0,0,0,0,1,0,1.000,0,0,0,0.000
Jet Academy,15U,Brayden Wise,1,5,0,2,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,1,0,0,0,0,0,1,0,1.000,0,0,0,0.000
NY Lightning,15U,Anthony Elor,1,2:53,0,0,0,0,0,0,0,0,1,0.00,0,0,0,0,1,0,0,0,0,0,1,0,1.000,0,0,0,0.000
Team Durant,15U,Coleman Jones,2,4:28,0,0.5,0,0,0,0,0,0,0,#DIV/0!,1.5,0,0,0,2,0,0,1,0,0,1,0,0.500,0,0,0,0.000
Boo Williams,15U,M. Donzo,1,9:34,0,0,1,0,1,0,0,0,2,0.00,4,0,0,0,1,0,0,1,0,0,0,0,0.000,0,0,0,0.000
AB Elite,15U,Andrew Wasserman,5,1:43,0,0.2,0,0.6,0.6,0,0,0,0,0.00,0.6,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Georgia Stars,15U,Brayden Wise,1,0:35,0,0,0,0,0,0,0,0,0,#DIV/0!,2,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Georgia Stars,15U,Makari Townsend,1,0:35,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Jet Academy,15U,Bre Cret,1,4:26,0,1,0,0,0,0,0,0,1,1.00,1,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
Team Melo,15U,Kaleb Haysbert,2,0:56,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
UPLAY,15U,Lucas Zhong,1,1:27,0,0,0,0,0,0,0,0,1,0.00,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,#DIV/0!
