Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
MPJ Elite,16U,Nicholas Timbrook,8,59,43,0.729,11,7,11.90%,1.57,18,29,47,38.30%,39.40%,41.10%,52,17,21,38,44.70%,1,8,9,11.10%,0.19,12,6,6,50.00%,11.90%,0.26,0,0.00%,40.70%,5,8.50%,18,5,13,10,5,1.43,0,6,0.13,10,7,5,0,31,0,0
Team Ish,16U,J'Sean Sanders,5,59,60,1.017,3,2,3.40%,1.5,24,23,47,51.10%,51.10%,53.80%,56,24,22,46,52.20%,0,1,1,0.00%,0.02,20,12,8,60.00%,18.60%,0.43,1,1.70%,52.50%,11,18.60%,26,12,14,3,2,1.5,1,5,0.11,4,14,4,0.25,48.3,0,0
1Family,16U,Jalil Hill,8,59,54,0.915,7,5,8.50%,1.4,21,30,51,41.20%,48.00%,49.90%,54,14,17,31,45.20%,7,13,20,35.00%,0.39,7,5,2,71.40%,8.50%,0.14,1,1.70%,40.70%,3,5.10%,60,27,33,3,3,0.6,25,2,0.04,28,8,27,0.93,64.3,1,0
Nebraska Supreme,16U,Sam Boudreau,8,59,58,0.983,8,6,10.20%,1.33,23,30,53,43.40%,54.70%,54.70%,53,11,7,18,61.10%,12,23,35,34.30%,0.66,0,0,0,-,0.00%,0,0,0.00%,39.00%,0,0.00%,27,9,18,4,3,0.67,0,3,0.06,4,0,7,0,42.6,0,0
SA Future,16U,Gavin Peck,6,59,43,0.729,11,9,15.30%,1.22,14,34,48,29.20%,42.70%,43.60%,49,1,5,6,16.70%,13,29,42,31.00%,0.88,3,2,1,66.70%,3.40%,0.06,0,0.00%,25.40%,0,0.00%,24,2,22,9,8,1,3,1,0.02,12,5,11,0.27,28,0,0
Team Ish,16U,Colton Kreger,9,58,40,0.69,14,12,20.70%,1.17,15,29,44,34.10%,43.20%,43.70%,46,7,9,16,43.80%,8,20,28,28.60%,0.64,4,2,2,50.00%,3.40%,0.09,0,0.00%,27.60%,2,3.40%,33,12,21,10,8,0.83,6,2,0.05,16,4,13,0.46,35.9,0,0
SA Future,16U,Tyler Jackson,6,58,42,0.724,3,7,12.10%,0.43,15,34,49,30.60%,40.80%,41.70%,50,5,6,11,45.50%,10,28,38,26.30%,0.78,3,2,1,66.70%,3.40%,0.06,0,0.00%,27.60%,0,0.00%,10,1,9,4,4,0.57,0,0,0,4,6,5,0,13.8,0,0
Nebraska Supreme,16U,Drayke Brown,8,57,78,1.368,8,8,14.00%,1,26,19,45,57.80%,78.90%,78.30%,50,7,6,13,53.80%,19,13,32,59.40%,0.71,11,7,4,63.60%,12.30%,0.24,1,1.80%,54.40%,4,7.00%,16,2,14,3,7,0.38,0,3,0.07,3,8,11,0,57.1,0,0
4:44 Athletics,16U,Taj Saragba,11,57,54,0.947,5,17,29.80%,0.29,21,10,31,67.70%,67.70%,66.40%,41,21,10,31,67.70%,0,0,0,-,0,22,12,10,54.50%,22.80%,0.71,2,3.50%,49.10%,11,19.30%,46,14,32,3,7,0.18,4,3,0.1,7,14,17,0.24,41.6,0,0
1of1,16U,Cruz Miller,4,55,59,1.073,11,4,7.30%,2.75,27,23,50,54.00%,56.00%,57.50%,51,25,17,42,59.50%,2,6,8,25.00%,0.16,3,3,0,100.00%,3.60%,0.06,1,1.80%,50.90%,2,3.60%,9,5,4,8,4,2,1,6,0.12,9,6,8,0.13,48.7,0,0
Southern Ties,16U,Gabriel Osborne,6,55,50,0.909,16,6,10.90%,2.67,21,22,43,48.80%,51.20%,51.30%,49,19,18,37,51.40%,2,4,6,33.30%,0.14,13,6,7,46.20%,16.40%,0.3,3,5.50%,43.60%,7,12.70%,28,10,18,15,3,2.5,7,4,0.09,22,16,6,1.17,60.6,0,0
Team Scoot,16U,Colton Sembower,5,55,47,0.855,13,7,12.70%,1.86,18,28,46,39.10%,45.70%,47.90%,49,12,11,23,52.20%,6,17,23,26.10%,0.5,7,5,2,71.40%,9.10%,0.15,3,5.50%,36.40%,5,9.10%,19,5,14,4,5,0.57,1,2,0.04,5,6,3,0.33,34.5,0,0
Team Scoot,16U,Lorenzo McCorvey,7,53,52,0.981,23,12,22.60%,1.92,18,12,30,60.00%,60.00%,62.10%,42,18,8,26,69.20%,0,4,4,0.00%,0.13,27,16,11,59.30%,30.20%,0.9,1,1.90%,54.70%,12,22.60%,26,13,13,6,4,0.5,4,1,0.03,10,13,13,0.31,54.5,0,0
4:44 Athletics,16U,Nate Winters,14,52,40,0.769,15,8,15.40%,1.88,16,24,40,40.00%,43.80%,45.50%,44,13,18,31,41.90%,3,6,9,33.30%,0.23,9,5,4,55.60%,9.60%,0.23,1,1.90%,36.50%,4,7.70%,45,9,36,3,3,0.38,7,5,0.13,10,12,24,0.29,34.7,0,0
1Family,16U,Willie Brooks,8,52,42,0.808,4,10,19.20%,0.4,15,26,41,36.60%,48.80%,50.10%,42,5,9,14,35.70%,10,17,27,37.00%,0.66,2,2,0,100.00%,1.90%,0.05,0,0.00%,30.80%,1,1.90%,20,7,13,7,6,0.7,2,2,0.05,9,1,17,0.12,22.5,0,0
Jaylen Wells Elite,16U,Julian Turner,5,51,64,1.255,7,2,3.90%,3.5,28,16,44,63.60%,64.80%,66.10%,48,27,10,37,73.00%,1,6,7,14.30%,0.16,10,7,3,70.00%,11.80%,0.23,1,2.00%,62.70%,4,7.80%,15,4,11,2,0,1,0,3,0.07,2,9,3,0,53,0,0
AAO Flight,16U,Julian Wilson,6,51,56,1.098,8,5,9.80%,1.6,20,22,42,47.60%,56.00%,60.30%,46,13,17,30,43.30%,7,5,12,58.30%,0.29,10,9,1,90.00%,11.80%,0.24,2,3.90%,47.10%,6,11.80%,29,6,23,7,3,1.4,0,3,0.07,7,11,5,0,50.9,0,0
