Team,Division,Player,Games,POSS ,PTS,PPP,AST,TO,TO%,AST/TO,FG MADE,FG MISS,FG ATT,FG%,EFG%,TS%,TSA,2 FG MADE,2 FG MISS,2 FG ATT,2 FG%,3 FG MADE,3 FG MISS,3 FG ATT,3FG%,3PA/FGA,FT ATT,FT MADE,FT MISS,FT%,%FT,FTA/FGA,AND-ONE,AND-ONE %,SCORE%,SF,%SF,TOT REB,OFF REB,DEF REB,STL,STL POS,STL/TO,BLK,BLK FGA,BLK FGA/FGA,STL+BLK,PF TKN,PF COM,BLK/FOUL,GM SCORE,DBL-DBL,TRI-DBL
MPJ Elite,16U,Damarion Verges,8,38,21,0.553,5,8,21.10%,0.63,9,19,28,32.10%,33.90%,34.80%,30,8,11,19,42.10%,1,8,9,11.10%,0.32,5,2,3,40.00%,7.90%,0.18,1,2.60%,26.30%,3,7.90%,23,5,18,0,7,0,1,3,0.11,1,6,11,0.09,4.5,0,0
1of1,16U,Malachi John,4,38,26,0.684,4,8,21.10%,0.5,9,16,25,36.00%,36.00%,44.20%,29,9,11,20,45.00%,0,5,5,0.00%,0.2,10,8,2,80.00%,13.20%,0.4,0,0.00%,36.80%,5,13.20%,16,3,13,2,6,0.25,1,5,0.2,3,7,10,0.1,10.8,0,0
Rhode Island Elite,16U,Mohammed Gueye,5,38,23,0.605,5,11,28.90%,0.45,9,16,25,36.00%,42.00%,43.00%,27,6,6,12,50.00%,3,10,13,23.10%,0.52,4,2,2,50.00%,5.30%,0.16,0,0.00%,28.90%,2,5.30%,7,3,4,1,7,0.09,2,2,0.08,3,5,7,0.29,3.7,0,0
Team Haliburton,16U,Kristian Bartl,7,38,30,0.789,1,6,15.80%,0.17,12,17,29,41.40%,46.60%,47.40%,32,9,12,21,42.90%,3,5,8,37.50%,0.28,6,3,3,50.00%,7.90%,0.21,0,0.00%,36.80%,2,5.30%,25,9,16,3,4,0.5,3,2,0.07,6,8,19,0.16,16.6,0,0
Team Museum,16U,Jacoby Briscoe,3,37,28,0.757,3,4,10.80%,0.75,5,15,20,25.00%,27.50%,45.20%,31,4,9,13,30.80%,1,6,7,14.30%,0.35,25,17,8,68.00%,37.80%,1.25,1,2.70%,43.20%,10,27.00%,18,5,13,3,0,0.75,2,2,0.1,5,15,7,0.29,19.9,0,0
As Promised ,16U,Rahkyi Mason,9,37,8,0.216,18,25,67.60%,0.72,4,8,12,33.30%,33.30%,33.30%,12,4,7,11,36.40%,0,1,1,0.00%,0.08,0,0,0,-,0.00%,0,0,0.00%,10.80%,0,0.00%,13,3,10,14,17,0.56,1,2,0.17,15,5,20,0.05,0.6,0,0
Southern Ties,16U,Harrison Jones,10,37,13,0.351,1,11,29.70%,0.09,5,16,21,23.80%,23.80%,26.00%,25,5,10,15,33.30%,0,6,6,0.00%,0.29,9,3,6,33.30%,13.50%,0.43,0,0.00%,18.90%,3,8.10%,28,10,18,1,7,0.09,1,1,0.05,2,5,8,0.13,-1.5,0,0
Team Scoot,16U,Ethan Allen,5,36,26,0.722,8,15,41.70%,0.53,10,8,18,55.60%,58.30%,63.00%,21,9,5,14,64.30%,1,3,4,25.00%,0.22,6,5,1,83.30%,8.30%,0.33,0,0.00%,36.10%,3,8.30%,3,0,3,8,12,0.53,0,0,0,8,3,4,0,14.9,0,0
1Family,16U,James Nowells,3,36,32,0.889,1,5,13.90%,0.2,13,17,30,43.30%,48.30%,51.10%,31,10,9,19,52.60%,3,8,11,27.30%,0.37,3,3,0,100.00%,5.60%,0.1,1,2.80%,38.90%,2,5.60%,15,3,12,2,2,0.4,2,1,0.03,4,3,2,1,20.2,0,0
Cooz Elite,16U,Daniel Clark,7,35,30,0.857,10,6,17.10%,1.67,10,16,26,38.50%,50.00%,52.40%,29,4,5,9,44.40%,6,11,17,35.30%,0.65,6,4,2,66.70%,8.60%,0.23,0,0.00%,34.30%,2,5.70%,9,2,7,7,6,1.17,1,1,0.04,8,7,4,0.25,25.6,0,0
Southern Ties,16U,Joey Folsom,5,35,24,0.686,8,6,17.10%,1.33,10,18,28,35.70%,42.90%,41.60%,29,6,4,10,60.00%,4,14,18,22.20%,0.64,2,0,2,0.00%,2.90%,0.07,0,0.00%,28.60%,1,2.90%,6,1,5,7,3,1.17,0,0,0,7,3,7,0,13.6,0,0
Nebraska Supreme,16U,Dakari Wilson,8,35,26,0.743,14,12,34.30%,1.17,8,11,19,42.10%,50.00%,57.70%,23,5,6,11,45.50%,3,5,8,37.50%,0.42,8,7,1,87.50%,11.40%,0.42,0,0.00%,34.30%,3,8.60%,16,3,13,7,8,0.58,0,0,0,7,5,10,0,22.3,0,0
Team Haliburton,16U,Jordan JT Meyer,8,33,31,0.939,2,2,6.10%,1,12,16,28,42.90%,48.20%,50.60%,31,9,5,14,64.30%,3,11,14,21.40%,0.5,6,4,2,66.70%,9.10%,0.21,0,0.00%,42.40%,3,9.10%,25,8,17,1,1,0.5,6,3,0.11,7,4,7,0.86,27.9,0,0
YGC,16U,Shaqere Kizzee,6,33,27,0.818,1,4,12.10%,0.25,11,17,28,39.30%,46.40%,46.70%,29,7,6,13,53.80%,4,11,15,26.70%,0.54,2,1,1,50.00%,3.00%,0.07,0,0.00%,36.40%,1,3.00%,19,8,11,4,2,1,2,1,0.04,6,1,12,0.17,17.6,0,0
1Family,16U,Markel Holmes,5,32,18,0.563,9,7,21.90%,1.29,6,16,22,27.30%,31.80%,36.50%,25,4,8,12,33.30%,2,8,10,20.00%,0.45,6,4,2,66.70%,9.40%,0.27,0,0.00%,28.10%,2,6.30%,16,3,13,2,4,0.29,1,1,0.05,3,5,5,0.2,10.2,0,0
Jaylen Wells Elite,16U,Jordan Cortez,5,32,25,0.781,7,6,18.80%,1.17,12,12,24,50.00%,50.00%,47.70%,26,12,10,22,54.50%,0,2,2,0.00%,0.08,5,1,4,20.00%,12.50%,0.21,2,6.30%,40.60%,3,9.40%,11,4,7,5,5,0.83,3,1,0.04,8,6,6,0.5,19.9,0,0
SA Future,16U,Aiden Martin,5,32,25,0.781,11,13,40.60%,0.85,8,5,13,61.50%,61.50%,68.40%,18,8,5,13,61.50%,0,0,0,-,0,12,9,3,75.00%,18.80%,0.92,0,0.00%,43.80%,5,15.60%,17,4,13,9,9,0.69,3,1,0.08,12,8,15,0.2,24.4,0,0
Team CPSA,16U,Jeremias Kilebrew,5,32,34,1.063,5,8,25.00%,0.63,14,7,21,66.70%,71.40%,69.30%,25,12,6,18,66.70%,2,1,3,66.70%,0.14,8,4,4,50.00%,15.60%,0.38,2,6.30%,50.00%,5,15.60%,24,9,15,5,4,0.63,1,2,0.1,6,7,7,0.14,32.5,0,0
Team Haliburton,16U,Jayden Burrell,8,32,29,0.906,1,3,9.40%,0.33,10,15,25,40.00%,48.00%,51.60%,28,6,11,17,35.30%,4,4,8,50.00%,0.32,7,5,2,71.40%,12.50%,0.28,0,0.00%,40.60%,3,9.40%,25,8,17,2,2,0.67,2,0,0,4,10,12,0.17,21.7,0,0
YGC,16U,Giovanni Watt,8,32,21,0.656,2,7,21.90%,0.29,7,12,19,36.80%,39.50%,42.50%,25,6,4,10,60.00%,1,8,9,11.10%,0.47,13,6,7,46.20%,21.90%,0.68,1,3.10%,37.50%,4,12.50%,19,7,12,0,4,0,5,2,0.11,5,8,11,0.45,9.7,0,0
Above the Rim,16U,Seven Pridgen,3,31,44,1.419,13,1,3.20%,13,20,10,30,66.70%,71.70%,71.20%,31,17,8,25,68.00%,3,2,5,60.00%,0.17,2,1,1,50.00%,6.50%,0.07,2,6.50%,64.50%,2,6.50%,14,3,11,2,0,2,1,1,0.03,3,6,2,0.5,46,1,0
1of1,16U,Braden Miller,3,31,29,0.935,4,3,9.70%,1.33,10,13,23,43.50%,45.70%,52.10%,28,9,11,20,45.00%,1,2,3,33.30%,0.13,11,8,3,72.70%,19.40%,0.48,1,3.20%,45.20%,3,9.70%,16,6,10,4,1,1.33,0,5,0.22,4,7,6,0,24.3,0,0
YGC,16U,Ben Bolton,8,30,33,1.1,4,3,10.00%,1.33,11,13,24,45.80%,60.40%,59.00%,28,4,5,9,44.40%,7,8,15,46.70%,0.63,9,4,5,44.40%,20.00%,0.38,0,0.00%,50.00%,3,10.00%,15,5,10,5,1,1.67,0,0,0,5,5,7,0,27.1,0,0
Above the Rim,16U,Jayden Wilbon,3,30,30,1,5,7,23.30%,0.71,10,11,21,47.60%,66.70%,65.90%,23,2,3,5,40.00%,8,8,16,50.00%,0.76,4,2,2,50.00%,6.70%,0.19,0,0.00%,40.00%,1,3.30%,4,3,1,4,6,0.57,1,2,0.1,5,3,2,0.5,21.3,0,0
Jaylen Wells Elite,16U,Kellen Garcia,5,30,28,0.933,6,10,33.30%,0.6,12,6,18,66.70%,69.40%,69.30%,20,11,6,17,64.70%,1,0,1,100.00%,0.06,5,3,2,60.00%,10.00%,0.28,1,3.30%,46.70%,3,10.00%,20,4,16,4,6,0.4,3,0,0,7,7,4,0.75,25.7,0,0
As Promised ,16U,Shizz Banks,4,30,31,1.033,4,8,26.70%,0.5,11,10,21,52.40%,66.70%,69.40%,22,5,4,9,55.60%,6,6,12,50.00%,0.57,3,3,0,100.00%,6.70%,0.14,1,3.30%,40.00%,2,6.70%,4,2,2,5,3,0.63,1,1,0.05,6,2,7,0.14,20.4,0,0
Southern Ties,16U,Joseph Folsom,4,30,19,0.633,1,5,16.70%,0.2,7,17,24,29.20%,35.40%,38.20%,25,4,10,14,28.60%,3,7,10,30.00%,0.42,2,2,0,100.00%,3.30%,0.08,0,0.00%,26.70%,1,3.30%,11,3,8,7,5,1.4,0,3,0.13,7,2,4,0,10.6,0,0
TME ,16U,Marcus Nestor,8,29,29,1,3,5,17.20%,0.6,10,12,22,45.50%,56.80%,59.90%,24,5,9,14,35.70%,5,3,8,62.50%,0.36,5,4,1,80.00%,10.30%,0.23,1,3.40%,41.40%,3,10.30%,21,5,16,3,5,0.6,0,0,0,3,4,3,0,24.4,0,0
Rhode Island Elite,16U,Karell Brown,3,29,13,0.448,3,10,34.50%,0.3,5,11,16,31.30%,31.30%,34.90%,19,5,11,16,31.30%,0,0,0,-,0,6,3,3,50.00%,10.30%,0.38,0,0.00%,27.60%,3,10.30%,19,8,11,1,6,0.1,2,1,0.06,3,5,3,0.67,4.8,1,0
Team Scoot,16U,Isiah Lockhart,6,28,21,0.75,10,6,21.40%,1.67,8,12,20,40.00%,47.50%,48.30%,22,5,7,12,41.70%,3,5,8,37.50%,0.4,4,2,2,50.00%,7.10%,0.2,0,0.00%,32.10%,1,3.60%,4,2,2,6,5,1,0,1,0.05,6,4,3,0,17.2,0,0
3D Empire,16U,Cooper Jones,8,27,27,1,10,4,14.80%,2.5,9,11,20,45.00%,55.00%,59.60%,23,5,3,8,62.50%,4,8,12,33.30%,0.6,6,5,1,83.30%,11.10%,0.3,0,0.00%,44.40%,2,7.40%,22,7,15,4,3,1,0,1,0.05,4,7,7,0,29.8,0,0
Colorado Collective,16U,Chaz Connors,4,27,29,1.074,2,6,22.20%,0.33,9,8,17,52.90%,64.70%,69.20%,21,5,5,10,50.00%,4,3,7,57.10%,0.41,9,7,2,77.80%,18.50%,0.53,1,3.70%,44.40%,3,11.10%,6,1,5,0,5,0,0,2,0.12,0,6,1,0,17.1,0,0
Jaylen Wells Elite,16U,Timothy Scheel,5,26,27,1.038,10,3,11.50%,3.33,12,10,22,54.50%,54.50%,57.90%,23,12,10,22,54.50%,0,0,0,-,0,3,3,0,100.00%,7.70%,0.14,1,3.80%,50.00%,2,7.70%,25,7,18,1,1,0.33,5,0,0,6,4,2,2.5,34.4,0,0
Team Haliburton,16U,Origin Prewitt,7,26,10,0.385,13,5,19.20%,2.6,3,16,19,15.80%,21.10%,24.10%,21,1,10,11,9.10%,2,6,8,25.00%,0.42,4,2,2,50.00%,7.70%,0.21,0,0.00%,15.40%,2,7.70%,14,4,10,4,4,0.8,1,5,0.26,5,4,6,0.17,9.3,0,0
AAO Flight,16U,Truman Wheeler,6,26,15,0.577,7,4,15.40%,1.75,7,14,21,33.30%,33.30%,33.60%,22,7,9,16,43.80%,0,5,5,0.00%,0.24,3,1,2,33.30%,7.70%,0.14,1,3.80%,30.80%,2,7.70%,25,15,10,3,3,0.75,2,3,0.14,5,3,12,0.17,16.3,0,0
As Promised ,16U,Marvin Reed,4,26,15,0.577,10,6,23.10%,1.67,5,11,16,31.30%,31.30%,38.40%,20,5,8,13,38.50%,0,3,3,0.00%,0.19,8,5,3,62.50%,15.40%,0.5,0,0.00%,30.80%,1,3.80%,6,2,4,4,4,0.67,0,2,0.13,4,6,0,-,12.2,0,0
Rhode Island Elite,16U,Sire Hazard,5,26,21,0.808,8,6,23.10%,1.33,7,10,17,41.20%,47.10%,51.20%,21,5,6,11,45.50%,2,4,6,33.30%,0.35,8,5,3,62.50%,15.40%,0.47,1,3.80%,38.50%,3,11.50%,9,3,6,3,4,0.5,0,4,0.24,3,8,6,0,14.8,0,0
Cooz Elite,16U,Christopher Clay,7,25,24,0.96,4,0,0.00%,-,10,14,24,41.70%,43.80%,45.80%,26,9,4,13,69.20%,1,10,11,9.10%,0.46,5,3,2,60.00%,16.00%,0.21,3,12.00%,44.00%,4,16.00%,2,1,1,5,0,-,0,2,0.08,5,6,3,0,18,0,0
Jaylen Wells Elite,16U,Trey Pringle,5,24,13,0.542,19,9,37.50%,2.11,5,9,14,35.70%,39.30%,43.70%,15,4,3,7,57.10%,1,6,7,14.30%,0.5,2,2,0,100.00%,4.20%,0.14,0,0.00%,25.00%,1,4.20%,14,3,11,6,7,0.67,5,1,0.07,11,4,10,0.5,20.4,0,0
As Promised ,16U,Keron Booth,4,24,19,0.792,3,5,20.80%,0.6,7,11,18,38.90%,50.00%,50.30%,19,3,3,6,50.00%,4,8,12,33.30%,0.67,2,1,1,50.00%,4.20%,0.11,0,0.00%,33.30%,1,4.20%,4,1,3,5,3,1,0,1,0.06,5,3,4,0,10.9,0,0
Team Scoot,16U,J Maurice,2,24,13,0.542,2,4,16.70%,0.5,5,14,19,26.30%,28.90%,32.70%,20,4,10,14,28.60%,1,4,5,20.00%,0.26,2,2,0,100.00%,4.20%,0.11,0,0.00%,25.00%,1,4.20%,3,1,2,0,3,0,0,2,0.11,0,2,0,-,0.4,0,0
Louisiana Elite,16U,Jaden Davis,3,23,10,0.435,4,2,8.70%,2,5,12,17,29.40%,29.40%,24.40%,21,5,12,17,29.40%,0,0,0,-,0,8,0,8,0.00%,17.40%,0.47,0,0.00%,21.70%,4,17.40%,10,7,3,1,1,0.5,0,5,0.29,1,4,10,0,0.5,0,0
SA Future,16U,Larry Hoover III,6,23,21,0.913,2,5,21.70%,0.4,10,7,17,58.80%,58.80%,57.30%,18,10,7,17,58.80%,0,0,0,-,0,3,1,2,33.30%,8.70%,0.18,1,4.30%,47.80%,2,8.70%,25,12,13,6,2,1.2,1,1,0.06,7,3,4,0.25,26.1,0,0
MPJ Elite,16U,Paul Crawford,7,22,20,0.909,4,1,4.50%,4,7,11,18,38.90%,41.70%,47.40%,21,6,7,13,46.20%,1,4,5,20.00%,0.28,7,5,2,71.40%,18.20%,0.39,1,4.50%,45.50%,4,18.20%,12,0,12,0,1,0,3,2,0.11,3,4,3,1,15.7,0,0
Colorado Collective,16U,Trenton Bantock,4,22,20,0.909,1,6,27.30%,0.17,8,6,14,57.10%,57.10%,63.50%,16,8,5,13,61.50%,0,1,1,0.00%,0.07,4,4,0,100.00%,9.10%,0.29,0,0.00%,45.50%,0,0.00%,15,5,10,0,4,0,3,0,0,3,2,7,0.43,13.9,0,0
Team Haliburton,16U,Lazar Djilas,6,22,5,0.227,1,6,27.30%,0.17,2,13,15,13.30%,13.30%,15.70%,16,2,10,12,16.70%,0,3,3,0.00%,0.2,2,1,1,50.00%,4.50%,0.13,0,0.00%,13.60%,1,4.50%,16,10,6,1,4,0.17,0,4,0.27,1,5,6,0,-3,0,0
3D Empire,16U,Elijah Chambers,8,21,20,0.952,6,1,4.80%,6,7,11,18,38.90%,50.00%,50.60%,20,3,5,8,37.50%,4,6,10,40.00%,0.56,4,2,2,50.00%,9.50%,0.22,0,0.00%,42.90%,2,9.50%,6,2,4,6,0,6,0,0,0,6,2,11,0,16.8,0,0
Team Ish,16U,Austin Bradway,5,21,17,0.81,8,2,9.50%,4,6,9,15,40.00%,46.70%,47.00%,18,4,8,12,33.30%,2,1,3,66.70%,0.2,7,3,4,42.90%,19.00%,0.47,0,0.00%,42.90%,3,14.30%,20,9,11,4,1,2,3,3,0.2,7,8,13,0.23,21.4,0,0
Team Haliburton,16U,Nas Avery,4,21,5,0.238,6,2,9.50%,3,2,17,19,10.50%,13.20%,13.20%,19,1,7,8,12.50%,1,10,11,9.10%,0.58,0,0,0,-,0.00%,0,0,0.00%,9.50%,0,0.00%,13,5,8,4,2,2,1,1,0.05,5,0,6,0.17,2.9,0,0
Colorado Collective,16U,Cooper Ellwood,2,21,19,0.905,8,3,14.30%,2.67,6,8,14,42.90%,42.90%,54.20%,18,6,8,14,42.90%,0,0,0,-,0,8,7,1,87.50%,19.00%,0.57,0,0.00%,47.60%,4,19.00%,5,1,4,3,1,1,0,0,0,3,5,1,0,18.3,0,0
1of1,16U,Nixon Wright,3,21,22,1.048,4,4,19.00%,1,10,5,15,66.70%,66.70%,64.00%,17,10,3,13,76.90%,0,2,2,0.00%,0.13,5,2,3,40.00%,14.30%,0.33,1,4.80%,57.10%,3,14.30%,4,1,3,0,3,0,0,1,0.07,0,5,3,0,13.5,0,0
Team Museum,16U,Chiezikom Etolue,3,21,24,1.143,0,1,4.80%,0,7,8,15,46.70%,50.00%,59.20%,20,6,4,10,60.00%,1,4,5,20.00%,0.33,12,9,3,75.00%,28.60%,0.8,1,4.80%,57.10%,6,28.60%,10,7,3,0,1,0,0,2,0.13,0,6,1,0,19.5,0,0
Jaylen Wells Elite,16U,Travis Bays,5,20,17,0.85,4,1,5.00%,4,5,11,16,31.30%,43.80%,46.70%,18,1,3,4,25.00%,4,8,12,33.30%,0.75,5,3,2,60.00%,15.00%,0.31,0,0.00%,35.00%,2,10.00%,10,6,4,2,1,2,1,0,0,3,4,3,0.33,15.7,0,0
YGC,16U,Quincy Baker,4,20,17,0.85,6,6,30.00%,1,5,5,10,50.00%,55.00%,62.90%,14,4,3,7,57.10%,1,2,3,33.30%,0.3,8,6,2,75.00%,20.00%,0.8,0,0.00%,45.00%,4,20.00%,11,1,10,4,5,0.67,1,0,0,5,4,7,0.14,15,0,0
1of1,16U,Onur Kurucu,3,19,21,1.105,6,1,5.30%,6,7,9,16,43.80%,59.40%,56.30%,19,2,3,5,40.00%,5,6,11,45.50%,0.69,6,2,4,33.30%,15.80%,0.38,1,5.30%,47.40%,3,15.80%,8,0,8,5,1,5,1,0,0,6,4,3,0.33,21.1,0,0
Above the Rim,16U,Frido Carrillo,2,19,15,0.789,5,2,10.50%,2.5,7,9,16,43.80%,43.80%,43.30%,17,7,4,11,63.60%,0,5,5,0.00%,0.31,3,1,2,33.30%,10.50%,0.19,1,5.30%,42.10%,2,10.50%,7,3,4,2,1,1,1,0,0,3,2,1,1,12.9,0,0
Team Museum,16U,Jonathan Bell,3,19,23,1.211,1,2,10.50%,0.5,6,5,11,54.50%,68.20%,68.80%,17,3,2,5,60.00%,3,3,6,50.00%,0.55,13,8,5,61.50%,31.60%,1.18,0,0.00%,63.20%,4,21.10%,4,1,3,1,0,0.5,0,0,0,1,6,4,0,15.4,0,0
Above the Rim,16U,Tanay Samuel,6,19,13,0.684,1,4,21.10%,0.25,5,9,14,35.70%,42.90%,43.70%,15,3,3,6,50.00%,2,6,8,25.00%,0.57,2,1,1,50.00%,5.30%,0.14,0,0.00%,31.60%,1,5.30%,4,0,4,1,3,0.25,0,0,0,1,1,6,0,1.3,0,0
Team Scoot,16U,Much Gatdet,5,18,18,1,1,0,0.00%,-,8,8,16,50.00%,50.00%,50.70%,18,8,8,16,50.00%,0,0,0,-,0,4,2,2,50.00%,11.10%,0.25,0,0.00%,55.60%,1,5.60%,26,13,13,5,0,-,2,4,0.25,7,2,3,0.67,28.1,0,0
Colorado Collective,16U,Michael Price,2,18,11,0.611,5,5,27.80%,1,3,9,12,25.00%,33.30%,41.30%,13,1,3,4,25.00%,2,6,8,25.00%,0.67,3,3,0,100.00%,11.10%,0.25,1,5.60%,22.20%,2,11.10%,9,3,6,1,5,0.2,1,0,0,2,3,4,0.25,6.3,0,0
Cooz Elite,16U,Cameron Martin,8,17,8,0.471,5,3,17.60%,1.67,3,8,11,27.30%,27.30%,29.30%,14,3,8,11,27.30%,0,0,0,-,0,6,2,4,33.30%,17.60%,0.55,0,0.00%,23.50%,2,11.80%,14,3,11,9,3,3,3,2,0.18,12,5,4,0.75,15.3,0,0
Colorado Collective,16U,Blake Cook,4,17,20,1.176,3,2,11.80%,1.5,5,6,11,45.50%,59.10%,68.90%,15,2,5,7,28.60%,3,1,4,75.00%,0.36,8,7,1,87.50%,23.50%,0.73,0,0.00%,52.90%,3,17.60%,12,4,8,0,0,0,4,0,0,4,6,7,0.57,19.2,0,0
Team Ish,16U,Chanse Bost,8,17,8,0.471,9,6,35.30%,1.5,4,7,11,36.40%,36.40%,36.40%,11,4,3,7,57.10%,0,4,4,0.00%,0.36,0,0,0,-,0.00%,0,0,0.00%,23.50%,0,0.00%,14,4,10,0,2,0,0,0,0,0,2,12,0,3.2,0,0
1of1,16U,Seeger Medalie,3,17,12,0.706,2,2,11.80%,1,3,11,14,21.40%,32.10%,39.20%,15,0,3,3,0.00%,3,8,11,27.30%,0.79,3,3,0,100.00%,5.90%,0.21,0,0.00%,23.50%,1,5.90%,6,3,3,1,1,0.5,0,1,0.07,1,2,0,-,6.8,0,0
AAO Flight,16U,Kameron Hicks,4,17,12,0.706,3,5,29.40%,0.6,5,4,9,55.60%,55.60%,51.50%,12,5,1,6,83.30%,0,3,3,0.00%,0.33,6,2,4,33.30%,23.50%,0.67,1,5.90%,35.30%,2,11.80%,3,1,2,0,3,0,0,0,0,0,6,6,0,2.1,0,0
Colorado Collective,16U,Jonah Medina,2,16,6,0.375,5,5,31.30%,1,3,7,10,30.00%,30.00%,27.60%,11,3,6,9,33.30%,0,1,1,0.00%,0.1,2,0,2,0.00%,6.30%,0.2,0,0.00%,18.80%,1,6.30%,12,4,8,5,2,1,4,2,0.2,9,1,2,2,10.1,0,0
TME ,16U,James Carlton-Rivers,8,16,4,0.25,2,6,37.50%,0.33,0,8,8,0.00%,0.00%,20.50%,10,0,4,4,0.00%,0,4,4,0.00%,0.5,4,4,0,100.00%,12.50%,0.5,0,0.00%,12.50%,1,6.30%,15,5,10,6,5,1,2,2,0.25,8,2,5,0.4,5.7,0,0
Louisiana Elite,16U,Austin Turner,3,15,8,0.533,2,2,13.30%,1,2,8,10,20.00%,20.00%,30.60%,13,2,8,10,20.00%,0,0,0,-,0,7,4,3,57.10%,26.70%,0.7,1,6.70%,33.30%,4,26.70%,8,5,3,2,0,1,2,2,0.2,4,4,2,1,7,0,0
1Family,16U,Jajuan Johnson,4,15,5,0.333,2,2,13.30%,1,2,11,13,15.40%,19.20%,19.20%,13,1,5,6,16.70%,1,6,7,14.30%,0.54,0,0,0,-,0.00%,0,0,0.00%,13.30%,0,0.00%,11,0,11,1,1,0.5,0,1,0.08,1,1,4,0,-1.2,0,0
Cooz Elite,16U,Tristan Collins,6,15,6,0.4,0,5,33.30%,0,2,6,8,25.00%,25.00%,30.70%,10,2,3,5,40.00%,0,3,3,0.00%,0.38,4,2,2,50.00%,13.30%,0.5,0,0.00%,20.00%,2,13.30%,6,3,3,3,3,0.6,4,0,0,7,4,2,2,3.4,0,0
Team Haliburton,16U,Pavle Djilas,3,15,5,0.333,0,7,46.70%,0,2,4,6,33.30%,33.30%,32.20%,8,2,1,3,66.70%,0,3,3,0.00%,0.5,4,1,3,25.00%,13.30%,0.67,0,0.00%,20.00%,2,13.30%,10,1,9,1,1,0.14,0,0,0,1,3,5,0,-4.2,0,0
Team Ish,16U,J Minlend,1,14,23,1.643,5,1,7.10%,5,10,2,12,83.30%,87.50%,86.30%,13,9,1,10,90.00%,1,1,2,50.00%,0.17,3,2,1,66.70%,14.30%,0.25,1,7.10%,78.60%,2,14.30%,6,1,5,3,1,3,1,0,0,4,3,2,0.5,25.8,0,0
Sipp United,16U,Robert Luckett III,2,13,8,0.615,2,3,23.10%,0.67,3,6,9,33.30%,33.30%,40.50%,10,3,5,8,37.50%,0,1,1,0.00%,0.11,2,2,0,100.00%,7.70%,0.22,0,0.00%,30.80%,1,7.70%,0,0,0,2,3,0.67,1,1,0.11,3,1,1,1,3.6,0,0
Team Museum,16U,Jayden Betz,3,13,5,0.385,2,3,23.10%,0.67,1,6,7,14.30%,14.30%,25.90%,10,1,4,5,20.00%,0,2,2,0.00%,0.29,6,3,3,50.00%,23.10%,0.86,0,0.00%,23.10%,3,23.10%,2,0,2,2,1,0.67,0,1,0.14,2,4,3,0,-0.9,0,0
Sipp United,16U,Simeon Ballard,9,12,7,0.583,0,0,0.00%,-,3,6,9,33.30%,33.30%,30.10%,12,3,6,9,33.30%,0,0,0,-,0,6,1,5,16.70%,25.00%,0.67,0,0.00%,33.30%,3,25.00%,12,5,7,2,0,-,2,2,0.22,4,4,8,0.25,5.7,0,0
TME ,16U,Amauri Walton,5,12,8,0.667,0,2,16.70%,0,3,4,7,42.90%,42.90%,41.50%,10,3,4,7,42.90%,0,0,0,-,0,6,2,4,33.30%,25.00%,0.86,0,0.00%,41.70%,3,25.00%,20,8,12,4,0,2,4,2,0.29,8,4,5,0.8,14.7,0,0
Louisiana Elite,16U,Devin Lavalais,7,11,6,0.545,8,1,9.10%,8,3,7,10,30.00%,30.00%,30.00%,10,3,7,10,30.00%,0,0,0,-,0,0,0,0,-,0.00%,0,0,0.00%,27.30%,0,0.00%,23,7,16,5,1,5,0,0,0,5,2,11,0,15.1,0,0
Team Scoot,16U,Preston McVey,2,11,10,0.909,1,1,9.10%,1,4,5,9,44.40%,50.00%,50.60%,10,3,5,8,37.50%,1,0,1,100.00%,0.11,2,1,1,50.00%,9.10%,0.22,0,0.00%,45.50%,1,9.10%,5,2,3,0,0,0,0,0,0,0,3,5,0,4.9,0,0
Team Haliburton,16U,K Wesley,2,11,11,1,2,3,27.30%,0.67,3,3,6,50.00%,58.30%,70.90%,8,2,1,3,66.70%,1,2,3,33.30%,0.5,4,4,0,100.00%,18.20%,0.67,0,0.00%,45.50%,1,9.10%,7,1,6,4,2,1.33,0,0,0,4,5,6,0,10.5,0,0
Cooz Elite,16U,C Goodman,3,11,6,0.545,1,2,18.20%,0.5,2,6,8,25.00%,31.30%,33.80%,9,1,4,5,20.00%,1,2,3,33.30%,0.38,2,1,1,50.00%,9.10%,0.25,0,0.00%,27.30%,1,9.10%,7,3,4,0,1,0,2,2,0.25,2,1,5,0.4,2.2,0,0
Southern Ties,16U,L Xzavier,1,11,6,0.545,2,4,36.40%,0.5,2,4,6,33.30%,41.70%,43.60%,7,1,3,4,25.00%,1,1,2,50.00%,0.33,2,1,1,50.00%,9.10%,0.33,0,0.00%,27.30%,1,9.10%,3,0,3,2,2,0.5,1,2,0.33,3,1,5,0.2,1.2,0,0
Team Museum,16U,L Duncan,2,11,5,0.455,1,5,45.50%,0.2,2,3,5,40.00%,40.00%,42.50%,6,2,1,3,66.70%,0,2,2,0.00%,0.4,2,1,1,50.00%,9.10%,0.4,0,0.00%,27.30%,1,9.10%,7,1,6,0,1,0,0,1,0.2,0,2,9,0,-3.5,0,0
