TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,EBY DIFF INDUSTRY
7,Endurance Aiyamenkhue,Ratiopharm Ulm (NED),?,Play Finishing Big,Rim Protector,"6'11""",,,,45,109,77,45,-97.75
7,Trey Pearson,Pope John Paul II,High Point,Primary Ball Handler,Point-of-Attack,"6'2""",125,116,150,106,110,121.4,124.25,14.25
7,Jacob Lanier,Parkview Magnet,Nebraska,Scoring Guard,Perimeter Stopper,"6'5""",127,100,86,200,111,124.8,128.25,
7,Darius Bivens,Bishop O'Connell,?,Primary Ball Handler,???,"6'0""",99,85,51,101,112,89.6,84,
7,Patrick Hassan,Trento (ITA),?,Primary Initiator,???,"6'2""",,,,,113,113,,
7,Eli Sancomb,Wheeling Central Catholic,Liberty,Primary Ball Handler,Helper,"6'5""",135,102,125,119,114,119,120.25,
7,Shane Pendergrass,Hargrave Military Academy (HS),George Mason,Play Finishing Forward,Helper,"6'8""",96,142,150,125,115,125.6,128.25,
7,Slim Rogers,Centennial,Stanford,Primary Ball Handler,Point-of-Attack,"6'2""",129,103,125,126,116,119.8,120.75,
7,Kaiden Bailey,Santa Margarita Catholic,Georgia Tech,Primary Ball Handler,Point-of-Attack,"6'2""",136,117,125,124,117,154.75,125.5,8.5
7,Moustapha Diop,Overtime Elite,Georgia Tech,Play Finishing Big,Rim Protector,"6'10""",83,97,125,142,118,113,111.75,
7,Code Mbengue,Gran Canaria (SEN),?,Play Finishing Big,Rim Protector,"6'11""",,,,,119,119,,
,Jayden Hodge,Monteverde,Northwestern,Slasher,Helper,"6'6""",81,64,81,62,,72,72,
,Ethan Mgbako,Oak Hill Academy,Vanderbilt,Off-Ball Wing,Perimeter Stopper,"6'6""",67,65,93,75,,75,75,
,Jonathan Sanderson,La Lumiere,Notre Dame,Primary Ball Handler,Low Activity,"6'2""",98,66,66,113,,85.75,85.75,
,Anthony Brown,Archbishop Carroll,Vanderbilt,Primary Ball Handler,Point-of-Attack,"6'1""",145,70,64,74,,88.25,88.25,
,Kevin Thomas,Monteverde,LSU,Off-Ball Wing,Perimeter Stopper,"6'7""",120,72,71,83,,86.5,86.5,
,Dean Reuckert,Timpview,BYU,Movement Shooter,Low Activity,"6'7""",143,79,73,60,,88.75,88.75,
,Collin Paul,Calvary Christian Academy,Florida St.,,,"6'7""",93,86,125,115,,104.75,104.75,
,Neiko Mundey,Prince George's Academy,Texas A&M,Primary Ball Handler,Point-of-Attack,"6'2""",88,87,84,52,,77.75,77.75,
,Jalyn Collingwood,Sidwell Friends,Mississippi State,,,"6'5""",128,88,150,149,,128.75,128.75,
,Josiah Johnson,Mayfair,?,,,"6'3""",122,89,150,94,,113.75,113.75,
,Trey Beamer,IMG Academy,Boston College,Combo Guard,Point-of-Attack,"6'2""",104,90,76,200,,117.5,117.5,
,Julius Avent,Bergen Catholic,Michigan St.,Off-Ball Wing,Helper,"6'7""",79,93,82,64,,79.5,79.5,
,Joseph Hartman,The Rock School,Michigan,Combo Wing,Perimeter Stopper,"6'6""",65,94,87,104,,87.5,87.5,
,Jackson Kiss,Utah Prep,Iowa State,,,"6'8""",133,95,125,200,,138.25,138.25,
,Jason Singleton,Columbus Academy,Harvard,,,"6'4""",125,104,125,100,,113.5,113.5,
,Willie Burnett III,Gillion Academy,Mississippi State,Combo Guard,Perimeter Stopper,"6'4""",59,109,77,200,,111.25,111.25,
,Jermal Jones Jr.,Monteverde,Pittsburg,Scoring Guard,Perimeter Stopper,"6'3""",76,110,83,200,,117.25,117.25,
,Chidi Nwigwe,Wasatch Academy,?,Slasher,Perimeter Disruptor,"6'7""",103,111,63,200,,119.25,119.25,
,Felipe Quinones,Columbus,Florida Atlantic,Combo Wing,Perimeter Stopper,"6'5""",64,118,74,200,,114,114,
,Christian Wiggins,Wayzata,Iowa State,,,"6'3""",105,119,150,200,,143.5,143.5,
,Trent Perry,Link Academy,Kansas,Off-Ball Wing,Perimeter Stopper,"6'4""",142,120,78,102,,110.5,110.5,
,Brandon Bass Jr.,Windermere Prep,Florida St.,,,"6'4""",142,120,78,200,,135,135,
,Cody Peck,Davidson Day,?,,,"6'9""",111,125,125,143,,126,126,
,Preston Wade,Academy of Central Florida,?,Play Finishing Big,Rim Protector,"6'10""",89,136,91,200,,129,129,
,Jackson Sheffield ,Hoover,Vanderbilt,Play Finishing Big,Paint Prescence,"6'9""",102,138,95,121,,114,114,
,Alex Smith,Prolific Prep,Ohio State,,,"6'8""",97,140,125,129,,122.75,122.75,
,Kalek House,AZ Compass Prep,Xavier,Scoring Guard,Point-of-Attack,"6'3""",109,143,57,139,,112,112,
,Parker Robinson,Overtime Elite,Oklahoma State,,,"6'5""",84,145,150,125,,126,126,
,Will Stevens,Davidson Day,Clemson,,,"6'9""",92,149,125,68,,108.5,108.5,
